排名,标题,播放量,讨论数,得分,UP的ID,视频av号
54,全民反智？看不懂漫威，就看不懂美国(四) : 高科技魔法（B站独家）,5.3万,1080,85817,495134012,BV13D4y1S7JZ
55,联合国五常少见达成一致，这两项提议曾被五常一致否决,7.9万,389,82625,605620744,BV1VK411H7hc
56,真的有那么丝滑吗——【南航本科毕业设计——穿戴式下肢外骨骼机器人研究】,7.3万,51,82460,14908552,BV19C4y187NT
57,日本网友评论，当中国人叫我们“小日本”时！反应亮了！评论笑死了！,7.3万,1029,81295,517587559,BV1KT4y1J7Nx
58,【水果猎人】雨林荒野迷路，小伙吃奇花异草求生！！收藏学习了，万一呢！【4K】,7.2万,440,81233,400230277,BV1kk4y1q7ov
59,把智利的长度放到中国是什么效果,7.8万,68,80284,596921864,BV1yA411i7FV
60,【差评君】我在阿三哥的卸载中国app中，发现了印度版财富密码...,6.1万,255,77654,19319172,BV1YD4y1D7AT
61,【高三必看】学长分享高考前一定不能做的事｜祝大家前程似锦！,2.7万,264,75155,384497590,BV1MV41167ut
62,如何才能获得退税？关于个人所得税汇算清缴的一切,4.5万,207,74875,9458053,BV1Mt4y127NT
63,这是毛爷爷最后一次参加中共十大，散会时说的一句话！,6.2万,0,72188,619001509,BV185411W7g2
64,这个现象出现的频率真是越来越多了（2020真是特殊的一年不知道你们有没有发现）,6.0万,111,70597,449186371,BV1Yf4y1174U
65,朝鲜一个曾经开挂的国家，是如何到了今天这步境地的？,5.7万,430,68978,17590709,BV1rz411e7oz
66,【科技袁周虑】国科大季某恨国，中科大莫名“躺枪”,5.9万,308,67971,419501714,BV1ca4y1e7k8
67,因为怕被下毒，所以我们要干杯？,5.1万,141,64536,43645887,BV17g4y1v7cZ
68,【历史影像】人类为了飞翔付出的努力超乎你想象,3.9万,243,64490,221648,BV1dk4y1z7Nx
69,【罗翔】女：我有艾滋，张三：我就好这一口！,6.0万,61,62914,34887986,BV1jQ4y1P7Pv
70,电竞行业工资月入过万？在上海做电竞能生活的很好吗？,5.0万,215,62633,290502582,BV14t4y197os
71,文人笔下那些惊艳且致郁的句子丨高质量书摘（第三十五期）,2.0万,281,62087,70903428,BV1354y1z7EM
