排名,标题,播放量,讨论数,得分,UP的ID,视频av号
55,【阿宅专用】是阿宅就来听听这个！,3.0万,70,56178,339567211,BV11D4y1D7Kx
56,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,2.2万,84,55969,20165629,BV1PK411L7h5
57,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,3.0万,93,55943,105421771,BV18J411i7A9
58,bilibili十周年纪念影片《干杯》,3.2万,241,55186,8047632,BV1h441137Uc
59,【40mP】だんだん早くなる Getting Faster and Faster【初音ミク】,1.5万,63,54369,601613427,BV1Xv411B7PG
60,【毒鸡汤提神醒脑歌】每个人都是鸡毛(Everybody Sucks) @柚子木字幕组,3.2万,148,54265,221648,BV1J54y1z7Lk
61,【日语版】一剪梅！内味儿太重了！,3.4万,112,52843,549222,BV13a4y1e75v
62,从前前前世开始，我就一直在追寻你的踪迹！街头钢琴“寻找”（弹奏）《前前前世》,3.6万,216,50950,13677047,BV1Nz411v7SH
63,'我  佛  了',3.1万,163,50448,327971418,BV17i4y147NF
64,[30covers] HOW YOU LIKE THAT / BLACKPINK / 男声翻唱！最强最快最高质量了解一下！粉墨听了都想立刻出新专辑！,2.2万,75,50314,178175006,BV1Da4y1Y7x4
65,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,1.8万,230,50155,2645423,BV1k7411k79Q
66,《岁月神偷》时间是让人猝不及防的东西,4.7万,50,50026,26277734,BV1nA411e7se
67,王智直播演唱《推开世界的门》  我个人认为她最适合这首歌，淘汰蛮可惜的。,4.9万,104,50003,493757417,BV11i4y1G7VG
68,我把高考必背历史做成了一首歌！,1.4万,111,48593,249608727,BV13A411i7Xi
69,神仙Remix！Henry刘宪华一人一乐队《Dance Monkey》+《Attention》Loopstation！疯狂循环！,3.0万,393,48584,3603406,BV1vi4y1G7Vz
70,【傅菁】EP首支单曲《硝烟四起》MV,2.9万,1161,47409,26166962,BV1zt4y197xR
71, 【古筝】千本樱——你可见过如此凶残的练习曲,2.7万,145,46638,2374194,BV1Sx411T7QQ
72,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,2.6万,34,45276,11139681,BV1Hv411z73N
73,如果把【黑人抬棺】做成中国风音乐,2.3万,191,44500,3991980,BV1fC4y1s7vv
74,【中国绊爱】生日歌《生于六月三十》官方MV,1.7万,277,44253,484322035,BV1yT4y177Tr
75,我直接在厕所唱LOSER！！！！！！,2.8万,165,44183,23957550,BV1hz4y1R7pz
76,【WNS中字】200627 BTS Love Yourself World Tour @ LONDON 伦敦场 全曲无剪辑完整版,1.5万,1050,43889,14025362,BV1Ua4y1Y7ob
77,这首毛主席时代的歌，现在没人再这样唱了！,2.8万,108,43781,424127064,BV15V411k721
78,《瘾》原创说唱×国家禁毒日宣传曲,1.7万,35,42351,337312411,BV1TK4y1476o
79,【BLACKPINK】how you like that四川话男声翻唱（blink冲鸭）,2.6万,253,42275,345058521,BV12i4y1G7zG
80,若能化作彗星 (中文字幕) / 春卷饭 feat.初音未来,1.2万,35,42095,251134371,BV16K411n79X
