排名,标题,播放量,讨论数,得分,UP的ID,视频av号
85,【哲学】你要跳♂舞吗？,45.0万,2139,657811,2192108,BV1u54y1Q7fv
86,盗 版 X P 8 8 音 乐,48.1万,807,656010,107989,BV1jz411B7QA
87,LOSER♂,28.6万,1179,648992,1770706,BV1vt4y1y7nM
88,【循环向】跟着雷总摇起来！Are you OK！,53.8万,1203,638702,609687,BV1es411D7sW
89,鬼 畜 区 现 状,57.5万,1858,629602,177838334,BV1xV411C7XU
90,【川普】曹操（高燃）,44.9万,5267,622514,313140441,BV1gk4y1r7sR
91,赌 怪（完整版）,39.5万,7878,622219,21951780,BV117411g7LB
92,当茄子拿起AK47,50.6万,169,619061,31953347,BV1VV41167Vc
93,大家好，我是子安武人，我来b站啦doge,67.2万,1018,616873,326241205,BV1Sk4y1B73E
94,【阴阳怪气】淦 ~,28.7万,596,615711,431781470,BV1Jt4y1C75f
95,【川普】卧底多年终究还是暴露了（高能泪目）,53.7万,4702,611197,240201234,BV1nC4y1x7Je
96,【梦幻联动】我一眼就看出你没人抬,41.4万,1052,611112,9091765,BV1wA411B7dT
97,【家有儿女】家有骚话！必须糊 糊穿地心,31.1万,1017,608048,31939781,BV1SE411p7zv
98,建议改成：G T A 8,46.7万,1600,603677,6841118,BV1bz411i7z3
99,【猫和老鼠】Numb,31.1万,1571,589357,40489639,BV1dZ4y1n7mz
100,【JOJOの奇妙口技】樱 桃 分 你 一 半,31.3万,1032,588645,24314825,BV1n54y1D7Fq
