排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
72,【汤姆很忙】音画同步率已达99.999999999999999%,70.1万,1695,1162840,586192453,BV1R54y1X7Yk
73,“  新海诚的雨，足足下了七年  ”,34.6万,696,1151271,379111241,BV1Ez411q76y
74,前方高能！让世界感受这场视觉盛宴吧！,84.2万,4863,1151202,15377173,BV1x441187u5
75,敌方布丁 vs 我方布丁！！为什么我打不中这个人？？,81.8万,1560,1136788,4128618,BV1Ea4y1v7Bo
76,船新自制动画版《你要跳舞吗》MV,69.7万,1504,1128400,95310750,BV12f4y127Wk
77,爆肝49天 制作纸片定格 迈克尔杰克逊太空步,43.8万,1142,1126198,126106683,BV1ik4y1z7MG
78,大威天龙东方版,76.0万,2431,1119071,4167742,BV1bD4y1D7j3
79,丈夫因怀疑妻子劈腿，竟和她同归于尽？这部日本人性动画实在是太直击灵魂了！,76.9万,4263,1117303,1791101,BV17V411k7DJ
80,身为一名海贼，会点忍术防身也很正常吧？,112.4万,2195,1117159,601674546,BV1S5411p7mm
81,魔 性 舞 者,43.8万,1437,1103009,16765,BV1hg4y1i768
82,恭喜你发现宝藏,41.9万,1401,1093261,33159593,BV1Qz411b7F6
83,【黑猫警长】Everything black meme,36.5万,637,1068087,16056464,BV1XZ4y1H7Hv
84,【新海诚式想见你】未来过去，我只想见你,34.5万,1.2万,1062626,270066363,BV1JD4y1Q73z
85,鬼 灭 航 线,46.4万,1349,1053818,3211302,BV1sK4y147c9
86,我愿称之为最强！2020年7月新番导视,76.6万,1.1万,1042833,37835620,BV1WZ4y1W7iy
87,青梅竹马，终究抵不过门当户对。,71.5万,1686,1042421,452338130,BV1J7411R7nV
88,蛇妖 我要你助我修行,91.6万,1334,1040726,601376717,BV1Pz411i7h5
89,【火影忍者】带好护额！前方高能！这是来自火影忍者的视觉冲击！！！,55.8万,2423,1018163,385175262,BV13g4y1q7Rd
90,大威天龙JOJO版,102.5万,1221,1011846,74184546,BV1Yf4y1y7ZS
91,《火影忍者》网络声优！为中国高考加油！！！,47.0万,2995,1007224,87691753,BV1Ap4y1Q71M
92,上 流 联 盟（要素过多）,65.3万,693,1004791,12625730,BV1Bt4y1C7GD
93,“杀死那个  章鱼哥”,74.8万,1190,1004577,162720154,BV1p54y1Q75f
94,【角色替换】如果白银的爸爸真的是DIO,71.5万,1404,985645,8699209,BV1AA411i77J
95,期 末 线 上 考 试 现 状,171.7万,6761,984048,243924849,BV1H5411W7hi
96,差别待遇,135.0万,3837,983420,38351330,BV1og4y1i7PP
97,今年的22娘杀伤力更强,40.7万,1917,982824,16235896,BV1M7411V79p
98,一拳法海：龙卷，我要你助我修行！,125.9万,1547,982461,309579352,BV1gA411i7KD
99,【沙雕动画】 我 们 毕 业 了,60.7万,6326,979835,8864484,BV1DC4y1a7Pt
100,属 于 我 们 的 无 限 大,52.3万,2844,976797,1939319,BV11t4y1C7GT
