排名,标题,播放量,讨论数,得分,UP的ID,视频av号
53,How You Like That 练习室舞蹈视频来啦！哈哈哈！这卡点真的绝了，果然YG的节奏都是想通的！,4.1万,148,56017,334913671,BV1dv411B7Zi
54,这个好笑程度实在是太超过了 头都给我笑大无语哈哈哈哈哈蔡徐坤存在即偶像剧是罪吗,4.3万,97,55816,339854322,BV1sV41167hP
55,【BFP中字】200626 BLACKPINK   How You Like That COUNTDOWN LIVE,2.3万,817,55449,413284162,BV1yp4y1U7MS
56,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,3.3万,87,54825,591109347,BV1ct4y197sJ
57,“你要允许一些人，有安静的青春。”,2.6万,52,54298,15523127,BV19z4y1Q78A
58,【威神V】公认新晋撒娇王是他？谁台上台下反差最大？给队友发消息已读不回，老“塑料兄弟”了！,2.0万,1802,53833,382996893,BV18T4y177e5
59,Running Man.E509.200628.中字,5.3万,662,53220,273881817,BV1VZ4y1p7nC
60,【婊气群像】老娘当年火的时候你还不知道在哪里！,3.9万,56,52315,12855280,BV1QZ4y1H7xN
61,粉墨新歌难听？拼接感重？TEDDY江郎才尽？逐帧分析BLACKPINK新回归先行曲 how you like that MV及音乐,3.5万,1635,52167,27979368,BV1Nv411z7pa
62,【MAMAMOO】华莎新歌《Maria》MV油管reaction合集,4.3万,577,52157,32649837,BV1H5411W7xM
63,允浩：我不干净了！孝渊：我会对你负责的！,4.7万,17,50569,3315862,BV1MV41167M5
64,普普｜现实里的普普，是个小公主呀,4.4万,82,50263,178306872,BV1XC4y1871L
65,这就是Linda G 李孝利效应        韩国目前无一人能及,4.5万,64,49818,93743208,BV15f4y1178k
66,【新文化技术研究所】NCT LIFE DREAM in Wonderland 预告2（中字）,3.3万,365,48713,67618650,BV1EA411e7Ua
67,惊！外表明明是世上最冷都市女...韩国人看乘风破浪的姐姐,4.6万,73,47208,39304265,BV1S54y1B7L8
68,【闲着干嘛呢】高清全集(持更至E48.200627中字)摄像接力综艺《都玩些什么呢》多版本中字 超清大合集 刘在石&Rain 李尚顺&李孝利 黄光熙&刘宪华,3.9万,1662,47063,13007433,BV1xJ411p7b5
69,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,3.5万,183,46834,458050419,BV1MK4y1b7J5
70,【傅菁】很开心，生日这天，能在B站与你相遇。,3.9万,231,46794,26166962,BV1ST4y1J7V2
71,于正内涵陈妍希小龙女引发连环瓜：“行得正”的于正把秦岚、刘芸也拉下了水,4.1万,324,46478,41288240,BV1wZ4y1p7KE
72,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,4.5万,48,46396,419728354,BV1vi4y1G7P4
73,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,2.9万,138,46128,69727287,BV1yg4y1B7FZ
74,【中字】土豪圆爸最新视频签售后记  玉酱和IZONE的视频相声大赛start！,3.0万,178,45998,319680539,BV1754y1z7Yd
75,"【马思唯】我改编了队友KnowKnow的”R&B All Night”,  等你来投稿",3.8万,97,45657,610985554,BV1NC4y1Y75k
76,【乘风破浪的姐姐】得不到的爱情睡衣典藏版舞蹈！,3.8万,114,44217,90998565,BV1xt4y197B2
77,【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,2.8万,482,43284,8011552,BV1YZ4y1j7s5
78,【得不到的爱情】油管网友精彩评论：风情万种只有姐姐才能驾驭，妹妹们还不行！（乘风破浪的姐姐）,4.2万,47,42975,476720971,BV1gi4y1V7dT
79,同家公司公开凑热度？！热议:祖传rapper艳后气质，真人间消化剂，气质上到底谁赢了(狗头)，真的被笑飞！,3.8万,95,42659,200649168,BV1ei4y1G7X9
80,好心酸，吴宣仪出道还是小透明的时候，确认了很久站子是不是拍自己，得到回应后开心得手舞足蹈,3.6万,50,42534,273325323,BV1dK411n7ZV
81,崇洋媚外！,3.9万,668,42435,441168981,BV1yA411q7Lr
82,【BTS】快 乐 传 染 源 —— 每天一遍，沙雕翻倍,1.2万,114,42160,9600269,BV1Dg4y1v7tE
83,【创造营2020】赵粤：你们都是舞蹈、vocal、Rap担当，那我只能门面担当喏～哈哈哈哈,3.8万,92,41197,314713309,BV1Bt4y197pJ
84,【人类观察】如果被大胸的女店员询问还要甩面去汤吗，你会要么,3.3万,129,39932,73681200,BV1bz411i7o4
85,（新更MV花絮）华莎第一张正规专辑《María》MV+打歌现场合集 MAMAMOO,3.1万,88,39581,3078459,BV1QV411r7Rx
86,【Kpop阅读理解】《Maria》华莎 | 看完MV到凌晨4点都睡不着 像喝了假酒一样激动,1.9万,371,39558,174695137,BV1nz4y1X7fQ
87,宣美新曲《紫光夜》超清MV+打歌舞台合集(更至舞蹈版)☜,3.2万,96,39207,318065048,BV1dK411n7Uy
88,【最强大脑】如果你不想努力了，请点开这个视频！,2.7万,70,38943,472371939,BV1Dz411i7n4
89,【黄铉辰】吸血鬼般美貌的《Psycho》直拍，一见误终身，我晕了,2.0万,150,37996,10068846,BV1QC4y187tL
90,听到哥哥带了女人回家？？在房间内卿卿我我？妹妹会如何应对？？【韩国整蛊隐藏摄像机】,3.7万,18,37978,7946787,BV1ak4y1q7EL
91,勾命阿！张含韵是迪士尼在逃的中国公主吧！！,3.6万,26,37862,485930249,BV1pD4y1Q78p
92,THE9刘雨昕、景甜跳乘风破浪主题曲《无价之姐》！终于dream到了,3.2万,74,37513,523000659,BV1Ct4y197t6
93,山本瑠香--求求你别晃了 我晕,3.5万,0,37147,19598232,BV1it411N7Ao
94,BLACKPINK HOUSE 团综 合集 (全12集) 中字,2.2万,755,36511,373867,BV1yW411B7ai
95,【1080P】秦霄贤邀刘筱亭与何九华挑战正骨-前方高能爆笑预警,2.6万,198,36445,16585354,BV1k5411Y7A8
96,[SVT_Harbour中字] 200629 SEVENTEEN dingo 陷入了SEVENTEEN黑手党不是罪! Left & Right 黑手党舞蹈,2.0万,578,36110,20787548,BV1iC4y1874D
97,【炙热的我们】即使被邀请到现场也不会嘴下留情！烫烫子我们又来咯！EP03+EP04舞台reaction大放送！,3.3万,1532,35591,77535248,BV1Ug4y1v7Lr
98,【高嘉朗】B站报道，请多指教！,2.2万,1142,35308,615746694,BV1VA411e7PK
99,【三站联合中字】200630 BLACKPINK智秀个人INS直播 中字（with JENNIE&ROSÉ&LISA）,1.4万,448,34929,61146432,BV1xA411i7SK
100,【宋亚轩】【苏新皓】这突如其来又令人惊喜的摸头杀，帅帅笑得好可爱啊,1.8万,116,34159,456395310,BV1di4y1G7VH
