排名,标题,播放量,讨论数,得分,UP的ID,视频av号
56,小学生自称后羿包赢，一问段位钻石六，怒喷：要他跪着叫我爸！,10.1万,153,105267,350287170,BV1iA411i7EE
57,猪八戒一级战令局内特效展示，并不是简单的换色新皮肤,10.1万,200,105098,284551466,BV18D4y1Q7ZG
58,这块木板是座桥？？？         2/4,6.5万,383,103413,7450650,BV1tZ4y1H7zR
59,如果鬼真的存在，我们的生活会怎么样？,7.0万,416,102986,402576555,BV1uV41167Gi
60,我采访了一个被判刑的外挂作者：原来真有主播定制挂！,7.9万,224,102844,235630215,BV1ZV411r7Sj
61,The shy居然给es.wink打辅助，羞男见谁都想杀，Wink拉都拉不住,9.4万,1321,102595,80509102,BV1E54y1z7JB
62,当你在召唤师峡谷中发明了扔标枪的坦克,8.4万,105,102364,11246021,BV1Yv411B7x2
63,能帮一个算一个吧,7.8万,216,98490,6558217,BV1Ei4y1G7ZS
64,【红茶】LOL：什么时候喷人成为了游戏特色？,6.8万,494,96768,34796963,BV1gi4y1V7Eh
65,真是好身手【水无月菌】,8.0万,123,95741,1958342,BV1Pa4y1e766
66,就你叫千甲德啊？,9.2万,36,95598,13729921,BV1Sv411B7MZ
67,啊！这一定就是仙人掌机吧！！,6.6万,718,94001,8784855,BV16g4y1v74F
68,《桃事记》第五期,7.0万,1240,91902,300634025,BV1sf4y1173K
69,齐  天  大  圣,8.5万,611,91626,483132647,BV1pt4y197Xe
70,暴 躁 老 哥,7.9万,122,91620,777536,BV1JT4y1J7wC
71,时隔几年之后！旭旭宝宝再次增幅20成功！单件力量高达1101！,8.7万,215,90408,449773,BV1xk4y1q7rx
72,请不要拿孙尚香来恶心人,8.6万,52,90176,191210693,BV1nk4y1r77w
73,国服增幅王降临！宝哥增幅+20悲痛者项链成功！一件1101力量！奇迹！,8.7万,123,89853,295589476,BV15z411v7kq
74,用王者荣耀排位赛的方式打开火影忍者手游！,6.6万,205,87814,351377487,BV1wa4y1e7Ky
