排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,BILIBILI 11周年演讲,415.3万,16.0万,3799980,8047632,BV1SK4y1477d
2,犬来八荒  | 滴米不漏,124.9万,8847,1134954,3345720,BV1K5411Y7K4
3,“你要允许一些人，有安静的青春。”,53.3万,927,948854,15523127,BV19z4y1Q78A
4,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,112.6万,6872,926100,591410235,BV1ev411B7QA
5,集体抱团排挤？艾瑞巴迪小组事件全整理,78.7万,7756,817884,8365699,BV1av411B7WX
6,仙女chuu chloe啊！,174.6万,62,766612,455012646,BV1aQ4y1A78b
7,明星为什么会吸毒,115.6万,3383,717456,619046280,BV1Xk4y1q7Wj
8,【李佳航】大家好，B站我来了！,74.8万,5833,681277,598628761,BV1kk4y1q74Y
9,【婊气群像】老娘当年火的时候你还不知道在哪里！,61.4万,721,679421,12855280,BV1QZ4y1H7xN
10,《动物圈的问号脸》第3期：某幻君赌上尊严 谁说猫主子不如狗？,182.0万,3.9万,677923,429711841,BV1dK4y1x79d
11,【秦昊】张东升空降直播间  一秒吓退所有观众,134.4万,3408,669060,16201391,BV16t4y197EF
12,2008年北京奥运会开幕式（高清全记录）,28.3万,2.5万,646876,53427157,BV1iJ411X7C3
13,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,53.3万,2664,610401,602530168,BV1PK411W77K
14,乘风破浪的姐姐们，兴风作浪的狗子们！【UP！大明星】,80.7万,5677,589525,487922923,BV1Ni4y1V72F
15,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,38.1万,1417,574091,69727287,BV1yg4y1B7FZ
16,最烦人的姐姐出现了？乘风破浪的姐姐｜观影指南Ep.2,57.2万,1.2万,571611,32598708,BV1654y1B7gB
17,【TF家族】2020 TF家族夏季运动会,47.9万,7.1万,539401,3670216,BV1NK4y147rm
18,B站11周年庆，我为大家献上一首喜爱的音乐，哔哩哔哩，干杯！,33.8万,1610,537541,483203976,BV1cp4y1Q7dU
19,【不心动算我输】历代女团神级圈粉名场面,23.5万,5855,527559,220263094,BV1fV411r7V5
20,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,55.5万,3662,514079,180537674,BV1J54y1z76V
21,【11周年】非正男团跨国庆生 他们最爱的UP主竟然是！？,60.4万,2.5万,478336,235555226,BV1ZK411n79c
22,【BLACKPINK】'HOW YOU LIKE THAT'打歌+MV+预告合集（持更至200628人气歌谣）,41.1万,2751,471765,398255230,BV12t4y1X7dT
23,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,61.1万,768,468905,419728354,BV1vi4y1G7P4
24,【乘风破浪的姐姐】王霏霏孟佳再跳missA出道曲，回忆杀！,45.9万,335,430052,222879096,BV1zK411n73K
25,【少年之名】张艺兴指导学员跳Love Shot和Monster!太开心了！,44.8万,1381,421002,162151104,BV1yK4y147Zx
26,秦昊：不想演坏人，却无法抵挡好剧本,46.3万,1451,417889,433587902,BV1kK411n7Q8
27,【TSKS】Running Man.E509.200628.中字,41.9万,1.9万,416587,43389575,BV1JV41167dJ
28,【周杰伦纪录片】第七集：夏日狂想,16.6万,1.0万,415580,174385946,BV1ip4y1D7iY
29,史上唯一能借军队开演唱会的歌手，太牛了！就连总统都是他的粉丝,43.5万,573,408382,353230307,BV1Ck4y1z7et
30,娱乐圈老父亲沙溢，吐槽女星裤衩有点短，节目全程被虐,46.3万,609,390462,504404432,BV1ND4y1Q76c
31,【预录】韩国预录最真实的女团?!进入视频时几乎听不出来是真唱还是假唱?!BLACKPINK回归初舞台How You Like That,30.7万,3026,388141,392578514,BV12a4y1h7st
32,【片片】全是梗！哥哥们如何在女团里翻江倒海？欢乐解说《创造营2020》第五期,42.2万,3966,381544,10119428,BV1Fp4y1S7Kv
33,【隐秘的角落|全员完结纪念】【残酷青春|盛夏光年】“朱朝阳，你可以相信童话”,17.7万,419,379238,19788353,BV1VV411k7RQ
34,【SBS综艺】Running Man 2020合集开始（更新E509.200628 主题：超能力学校竞赛 ）【1080P】【RM】【TSKS】,41.7万,1.3万,374125,27580511,BV1HJ411n7Eo
35,乘风破浪的姐姐，主题曲 9人对比版 张雨绮 蓝盈莹 张含韵 万茜 海陆 王智 钟丽缇 伊能静 沈梦辰 路拍 花絮,41.1万,1024,371637,71913509,BV1cf4y117yJ
36,[更新音银onetake][4K/60帧/合集] SEVENTEEN Left&Right 打歌舞台 直拍 零站,25.2万,1.1万,366811,218438615,BV1dC4y1a7V3
37,各大名山景区已换标语  禁止秦昊入内   哈哈哈    看过这个影视的都知道这个梗,41.4万,248,358251,590530727,BV1jV41167Hu
38,【伊能静秦昊跳无价之姐】姐夫也太敢说了吧！！跳的也好,41.4万,350,357457,387370021,BV1uV411675S
39,《乘风破浪的姐姐》一次公演七宗最：蓝盈莹、黄龄组表演，比金晨、沈梦辰《大碗宽面》要好,40.9万,1200,355607,41288240,BV1zz411e78i
40,【非正式卧谈】第10期：令人上头的粉丝礼物大赏！,40.2万,2.1万,354308,15080107,BV1ga4y1e7Zr
41,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,21.3万,2133,352101,535511499,BV17V411k7W4
42,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,27.2万,1503,331832,458050419,BV1MK4y1b7J5
43,【南韩六大公认神颜】终于知道为什么南韩都喜欢这种类型的颜了！！,27.9万,3355,320214,33287711,BV1HA411i7tK
44,【创造营2020】丁禹兮、郑乃馨《着迷》舞台！性感互撩！,24.5万,1470,317423,32782335,BV12z411i7t7
45,乃木坂46官方bilibili开始♪,22.2万,1328,317147,603028270,BV1hg4y1v7TA
46,【黄铉辰】吸血鬼般美貌的《Psycho》直拍，一见误终身，我晕了,15.5万,1618,312781,10068846,BV1QC4y187tL
47,【乘风破浪的姐姐】主题曲“无价之姐”舞蹈合集,30.0万,1348,310355,8102623,BV1J5411W7Sr
48,【刘哔】搞笑吐槽台版土味101《DD52》第二期！僵尸舞大战神婆上身，女团舞蹈下限让人叹为观止！,29.9万,8144,301910,27218150,BV1PD4y1Q71F
49,普普｜现实里的普普，是个小公主呀,29.5万,410,298167,178306872,BV1XC4y1871L
50,【BLACKPINK】最新回归单曲《Drunk Butterfly》打歌现场混剪/你绝对没看过的粉墨打歌现场,27.2万,1098,297834,385128064,BV1vK4y1x7nC
51,200623 防弹少年团 进军时尚界 工具手中拿 帅衣自己剪 服装设计梦 今天就实现 中,19.1万,1.8万,295228,14025362,BV13K4y147Az
52,【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,19.6万,2631,294072,8011552,BV1YZ4y1j7s5
53,“我就是长的有点凶，我真的挺好的”——JENNIE,18.5万,264,293836,287759332,BV1CK411p7k5
54,长了一张SM的脸却去了YG？【韩网热议】这种爱豆的美貌简直是YG的门面啊！金智秀的五官怎么能如此漂亮！,22.7万,790,293827,65804099,BV1uz4y1R7rZ
55,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,18.0万,522,289370,591109347,BV1ct4y197sJ
56,【BLACKPINK】新曲《How You Like That》MV+现场油管reaction合集,24.5万,4558,288445,32649837,BV1Rp4y1D76S
57,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,13.5万,296,286987,483830099,BV1Zt4y1C7Br
58,【拜托了冰箱】香港人王嘉尔问为什么东北菜分量大 东北人黄景瑜的回答也太实在了,31.7万,19,284621,210123001,BV1St4y1X7Yj
59,BLACKPINK HOUSE 团综 合集 (全12集) 中字,16.9万,6017,284275,373867,BV1yW411B7ai
60,【首秀舞台】BLACKPINK - How You Like That 吉米今夜秀 200627,21.5万,2527,281076,93991618,BV1pK4y1s7kY
61,《张含韵练习室直拍》真的好惊艳！我知道她颜正条顺唱歌甜，但是我真的不知道她跳舞竟然也这么好，,29.3万,62,280708,599184205,BV1Xz411i7UD
62,外国人猜乘风破浪的姐姐有多大？知道真相的他们。。。,25.3万,2677,277690,32820037,BV12C4y187L7
63,【贝爷】探索者们，我开通B站账号了！让我们一起永不放弃！,24.6万,404,277668,515015078,BV1Ri4y1s7Xq
64,疯辽……这个视角绝了我好像坐在舞台上看表演一定要点开看完  不看会后悔！！！,7.3万,454,275600,471423249,BV1M5411Y7Gz
65,「周深」周深李荣浩李晨合唱《至少还有你》 | 奔跑吧花絮,23.9万,688,275149,1862263,BV1n5411Y7MX
66,【许君聪】无情哈拉少！,24.9万,591,273822,508117493,BV1iD4y1Q7Xo
67,【闲着干嘛呢】高清全集(持更至E48.200627中字)摄像接力综艺《都玩些什么呢》多版本中字 超清大合集 刘在石&Rain 李尚顺&李孝利 黄光熙&刘宪华,25.6万,1.1万,272980,13007433,BV1xJ411p7b5
68,党妹综艺首秀《我在颐和园等你》，玉兔妹妹来啦~,25.5万,400,271284,601143716,BV13Z4y1p7Wj
69,【Heart Signal3】心脏信号3 高清中字合集(更至200624 E13中字）,25.2万,2.1万,269018,16720403,BV1dt4y1m7Fm
70,南韩仅此一家神仙家族爱！！Wonder Girls惠林结婚，全员前来祝贺，还有不能落下的人-猩爹出来的时候眼泪都要掉下来了,26.5万,160,264959,415071804,BV1tK4y1479y
71,【麦长青】真当我“梁非凡”不上B站,21.5万,521,260188,549472400,BV1Fi4y1t7F7
72,Running Man.E509.200628.中字,26.4万,1.4万,259997,273881817,BV1VZ4y1p7nC
73,RM新PD宝毕为什么好评如潮？两分钟告诉你,22.8万,387,257989,82660128,BV1HT4y1J7MW
74,【2020 TF家族夏季运动会】饭拍全程（没有射箭）,12.5万,4230,254806,6275027,BV1hg4y1q7fF
75,【BFP中字】200626 BLACKPINK   How You Like That COUNTDOWN LIVE,10.0万,4904,252063,413284162,BV1yp4y1U7MS
76,【杨超越】活在我笑点上的女人--杨超越（第一弹）,21.7万,538,250778,108011052,BV1Lt4113758
77,秦霄贤唱《红色高跟鞋》—低音炮太好听了,18.4万,552,248297,16585354,BV1fi4y1G73C
78,【某幻】不会吧不会有人没看过猛汉踩点吧｜微色气向｜超A踩点｜心动,10.1万,342,246975,129334650,BV1BV411r76U
79,惊！外表明明是世上最冷都市女...韩国人看乘风破浪的姐姐,26.2万,519,246496,39304265,BV1S54y1B7L8
80,这个好笑程度实在是太超过了 头都给我笑大无语哈哈哈哈哈蔡徐坤存在即偶像剧是罪吗,19.5万,537,243875,339854322,BV1sV41167hP
81,【秦昊】一个直播直接把脏话读出来的张东升哈哈哈哈哈，伊能静：你别瞎念,25.6万,18,241533,164679944,BV1dv411B7C9
82,【日综】日本兵库县的一位母亲，同意儿子东大落榜后再次挑战的要求，而每天发奋学习的儿子，也终于等来了送东大录取通知书的快递员，但却迎来了意外的结局…,24.5万,132,241123,429251,BV1Ma4y1Y78q
83,给丁当建议几个阳谋，如何在黄圣依和张萌的夹缝中求生存。,16.2万,1460,237254,526735085,BV1fz4y1Q7SW
84,山本瑠香--求求你别晃了 我晕,24.6万,8,236386,19598232,BV1it411N7Ao
85,张艺兴《莲》MV Re-reaction,8.5万,5055,235401,161158015,BV1Yp4y1U71W
86,【张艺兴】未播PD教学完整版上线啦！训练生对PD唱《一个人》，幕后PD大魔王评级上线啦，你们就不该做这个节目《少年之名》CUT,21.5万,1172,234887,32528852,BV1Yz4y1Q7EH
87,D社公开“大反转”真相..这一年被造谣最惨的爱豆..? 真的是历代级黑粉..｜DenQ,18.8万,2754,233287,394606820,BV1ev411678x
88,秦昊搞笑合集，直男式夸赞老婆，问妈妈：咱家祖坟是不是冒烟了！,23.5万,302,232520,527161312,BV1VK411H7PK
89,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,8.3万,4585,231493,381386504,BV1BZ4y1H7fS
90,改变桥本环奈命运的眼镜,23.1万,126,231114,431071234,BV1Qt411A7B2
91,【麻将馆中字】有点心机又如何 第一弹 2019.09.27 田中みな実 弘中綾香,9.8万,2614,231081,15089033,BV1ZE411h7Zh
92,气抖冷气抖冷，华晨宇粉丝居然这样,10.0万,7122,230548,40110005,BV1ft4y197kR
93,每天一遍 防止早恋,17.7万,662,229900,208708135,BV1di4y1s7RJ
94,前七排名大洗牌！希林第三意难平？赵粤第一有争议？刘些宁第六出道难？中位区谁能突出重围？第三次公演舞台上期！【创造营2020reaction康康复盘ep15】,18.7万,4654,229306,234122970,BV1vT4y1J7oM
95,她终于会跳舞了？因为wave上了热搜的女爱豆 她真的超级努力的,22.4万,163,228968,396566525,BV1j5411Y7LL
96,【乘风破浪的姐姐】姐姐们的业务能力合集,20.5万,997,224753,283344664,BV1bf4y1m7na
97,【乘风破浪的姐姐】得不到的爱情睡衣典藏版舞蹈！,19.8万,963,223894,90998565,BV1xt4y197B2
98,王圣迪试镜｜普普真的天生演员吧 演的太好了！,22.8万,18,218627,4755582,BV1Rp4y1D7m4
99,真当何老师不上B站？,21.2万,1274,218138,9617619,BV15V411k7Dh
100,【秦昊担心演反派会影响女儿】对话《隐秘的角落》秦昊 说自己有不接烂片的底气,19.3万,1912,218095,384403528,BV1SK4y147mS
