排名,标题,播放量,讨论数,得分,UP的ID,视频av号
54,诺兰蝙蝠侠《黑暗骑士》超两万字解析犯罪心理大师小丑！魔鬼细节彩蛋全解说！蝙蝠侠最后真的赢了吗！,39.3万,7111,1053550,253350665,BV1kp4y1D79R
55,【剧情粉碎机|车车预警】假如韩烁和楚楚成了婚，依旧喜欢芊芊 （双黑.传闻中的陈芊芊）,43.7万,1202,1025413,2390163,BV1Ya4y1v7Ke
56,【敢信吗，毒液只是他演过最怂的角色】千面天王.汤姆哈迪（让我起来！）,116.0万,593,1022987,404301913,BV1qi4y1s7eq
57,【丁禹兮】玄虎城甜心教主 韩烁 | 小表情 挑眉合集 | HONEY,38.9万,2267,1022757,26869528,BV1eA411q7Xa
58,“现实永远比童话残酷.”,46.3万,1690,1021270,356241477,BV1vz4y1Q74p
59,【培根悖论】带你看懂本世纪最佳科幻片《星际穿越》#4K#,60.1万,6476,1014295,386869863,BV19A411q7sB
60,迪丽热巴不光被自己的混剪笑瘫，还讲起了鬼故事，毫无包袱！【bilibili星访问 第63期】,124.4万,2.5万,991858,32660634,BV1wt4y197SD
61,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,94.9万,5267,975037,606897653,BV1QK411n7hG
62,把这些都收入后宫，谁还上朝，混剪,79.6万,--,973373,406769589,BV1uK4y187Ck
63,每天一遍，防止抑郁率达99.999%,49.3万,894,973109,43887712,BV1sz411i7Ch
64,“ 死 • 欲 • 生 ”------丝滑踩点/黑化,32.2万,1014,972162,22592115,BV1ha4y1v7ge
65,【老邪吐槽】疯狂注水！逆天吐槽毫无逻辑的《幸福触手可及》,106.7万,1.5万,952644,154021609,BV1uK4y147hE
66,【美国示威游行暴乱】升起大桥，蝙蝠侠小丑惊现街头，军队介入，全城暴动，2020美国哥谭市实体化达成,143.0万,1731,941001,1736624,BV1YK411p7uF
67,主席，我们想您了,65.6万,0,939089,74241728,BV14z411q7yv
68,【阿斗】竟然有4种结局！全面解析神作《蝴蝶效应》2位导演一生只拍过这一部电影，但足够了！,92.6万,7558,938227,21837784,BV13T4y1J7bS
69,【舒畅】老娘15岁就开始演96岁老太婆了/还有谁？,151.8万,1769,936765,414008647,BV1Lz411i71Q
70,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,118.6万,5194,927116,17223352,BV1VK4y1s7Wd
71,DYSTOPIA_反乌托邦——2020毕业设计,32.5万,901,918489,23114000,BV1LA411i78p
72,最豪横的法海，一言不合就大威天龙,145.7万,2559,906899,28388380,BV1gT4y1V7VR
73,【致敬轩龙鸽鸽】极度舒适的踩点和无缝衔接,42.1万,1485,903158,37632376,BV1MQ4y1P7D5
74,柳如眉，云似发，鲛绡雾縠笼香雪。,77.2万,878,901998,49291992,BV1vz411i7Kr
75,你们班男生自以为走路的样子vs实际上,143.4万,6752,888801,28896800,BV1mK4y1t7ns
76,“雕虫小技竟敢班门弄斧，大威天龙！！！”,127.6万,1330,869208,307776861,BV1wp4y197xU
77,【现代版 武林外传】今日“血洗”同福客栈！,72.6万,1296,869038,175093011,BV1rf4y1274y
78,我的小主人死于大婚前夕，她只是睡了一觉，却再也没醒过来,49.1万,732,868363,331211373,BV1yi4y1s7aT
79,看完后我的世界观又崩了,91.3万,996,866284,22710402,BV1QT4y1u7nn
80,再无美利坚】你是要当一辈子的懦夫还是英雄，哪怕只有几秒钟。,55.6万,836,865290,275887219,BV1jz411i7xZ
81,“你创造了我，但你却不懂我”,83.7万,596,863491,88002428,BV1bi4y1s7ow
82,结局改写｜自始至终都是韩烁,34.2万,738,855974,617929,BV1ci4y1x7iL
83,阿强的停车场保安之旅,144.8万,2066,845060,37199377,BV1M54y1Q7Km
84,妈妈我真的在看动画片啊,77.6万,2118,843246,510722319,BV1Ez4y1d7Ux
85,万一火了呢！！！,60.4万,972,835329,21412328,BV1dg4y1i7Fd
86,【张飞×林黛玉】“待我去屋后放一把火，看她起不起来！”,63.3万,3127,828758,15359911,BV1dz4y1Q7Sd
87,野心大！讽刺偶像剧现状！《传闻中的陈芊芊》这部沙雕不简单,154.5万,9404,827322,203337614,BV1iA411v7o4
88,黄胶鞋、七分裤、山羊胡子“刘海柱”精彩合集,75.2万,3000,827196,292096304,BV1yi4y147rv
89,每天一遍，防止早恋,97.5万,2442,826929,518523076,BV1Yg4y1B7MY
90,【传闻中陈芊芊】当我们全家人一起看传闻中的陈芊芊时会发生什么|沙雕向,64.8万,6070,822577,351639815,BV1gK4y1b7qW
91,日本讽刺短片《你的善良一文不值》,58.6万,3804,822052,389050110,BV15Z4y147Ch
92,【白蛇：缘起】真人版 姑娘 你的珠钗掉了,53.5万,1691,817783,73204828,BV1Rz4y1X7FM
93,曝光盲盒黑色产业链，无良商家如何暴力捻财！,60.9万,1966,815778,523608103,BV1DA411v787
94,这TM才叫经典！！,76.5万,4781,814232,8111051,BV17Q4y1K7Ep
95,【高燃踩点】韩烁：当个反派，谁也不爱｜抬眸绝杀疯狂踩点 ｜丁禹兮,29.0万,1312,806833,12428414,BV1hK411p7hs
96,魔 法 盛 宴 ！麻 瓜 慎 入！,33.9万,1124,806764,389577197,BV1J5411Y7Rt
97,讽刺短片：如果警察也是黑人,99.6万,1928,799002,487511093,BV1Sv411z7N4
98,【1080p高清】传闻中的陈芊芊（品味爱情！）【0527糖点合集更至20集】,53.0万,6311,796940,6655892,BV1nk4y167XA
99,“我这辈子都不会结婚，我为独立的活着而感到快乐”—《小妇人》,29.5万,968,794649,292018590,BV1Kf4y1m7CM
100,电影最TOP 151: 被歌唱事业耽误的影帝——张学友,84.5万,1.4万,792583,17819768,BV1Gt4y1971Z
