排名,标题,播放量,讨论数,得分,UP的ID,视频av号
61,这 才 是 神 仙 打 架！,34.2万,423,505852,325159039,BV1pp4y1D7oM
62,她模仿声音一直可以的！,21.4万,1441,500113,3985676,BV1eD4y1Q7kR
63,【实力至上主义的教室/二年生篇】第7期：质疑,24.4万,3221,496252,6345879,BV1vf4y117wT
64,【黑猫警长】Everything black meme,18.8万,380,494070,16056464,BV1XZ4y1H7Hv
65,亿万家产说没就没了？？？,40.2万,1720,485816,180634215,BV12K411p7Dq
66,渣男一旦想出轨，敢跟女鬼有一腿！《伊藤润二：不想变成幽灵》,40.9万,4591,474407,452309333,BV1vC4y187Rq
67,【方舟日常】博士的渣男之路,21.6万,2188,473260,11742550,BV1Q54y1i79V
68,《崩坏3》布希MV - 想和你一直一直在一起 -「Aimer/Ref:rain」,14.3万,435,472209,888465,BV1Kz4y1X751
69,【漫评】约定的梦幻岛完结吐槽！从智斗神作到平庸收场，如何评价这部作品？,27.7万,2950,469138,216025,BV1mK411n76C
70,老师就是这样给我们划重点的！？,46.0万,566,467417,6496196,BV1wk4y1z7vX
71,【处处吻】你的老婆可太撩了！世界都馋她一吻,26.4万,878,462328,1826871,BV137411B7mQ
72,华生：都别动！他手里有枪！,42.8万,446,462022,5294454,BV1rC4y1a7in
73,【6/10B限熟肉】回应中国粉丝的4个变态问题！第一问差点把梦酱嫁出去.....,31.8万,2598,437512,442426299,BV1uD4y1S7PZ
74,前方高能！只需10s！我将从你手中抢走硬币！,21.7万,1116,427643,114397228,BV1yE411v7Pq
75,今年的22娘杀伤力更强,17.5万,810,427551,16235896,BV1M7411V79p
76,地 表 最 强 唐 僧,33.5万,420,426313,5818410,BV1RZ4y1n72F
77,【4K ⁶⁰ᶠᵖˢ】新海诚，从未让我们失望  𝑻𝒉𝒆 𝒓𝒂𝒊𝒏 𝒂𝒏𝒅 𝒕𝒉𝒆 𝒍𝒊𝒈𝒉𝒕,12.0万,275,419713,399694744,BV1YV411r7Nr
78,老年卡卡西直播带货,33.9万,203,411073,47752687,BV1H54y1z7Vo
79,五  虎  将  女  团,23.5万,777,410281,105248051,BV1wE411G7Dw
80,秦先生和韦天本尊本色配音版【摸王TV】明日方舟篇05.5,27.4万,551,398551,290982,BV1vk4y1q7pU
81,2020年了，还有人记得童年那首动人歌曲《左手右手》吗,25.3万,5179,397546,309425970,BV1nT4y1G7Cd
82,被遗失的一集：进击的派大星,26.7万,260,387355,10451557,BV1cz411i7RL
83,整 合 把 妹 王,20.0万,913,384804,22157527,BV19D4y1D7YP
84,当外地小伙转学到四川学校,26.9万,808,383144,37235515,BV1FZ4y1H7rj
85,读   书   无   用   论   ？？？,29.6万,433,381457,24967142,BV1e5411W7hL
86,考 试 前 一 晚,28.8万,1184,377803,17428557,BV1mV411r7hF
87,【现状】大 学 返 校 现 状,27.0万,395,375304,46254669,BV19z411v7bd
88,【JOJO】SBR动画化！乔尼vs大总统片段公开！,25.8万,107,375237,10823927,BV13z4y1R7Cs
89,穿上1比1钢铁侠MK7战甲是什么体验？-刘哥模玩,30.4万,3304,374332,8893909,BV1sf4y117SB
90,不好意思，这才是火影忍者的精彩打斗！,14.9万,535,372405,295423352,BV1Pp4y1S7Su
91,前方高能！让世界感受这场视觉盛宴吧！,21.8万,1114,360147,15377173,BV1x441187u5
92,【崩坏3】最  强  雷  律,20.6万,326,357877,2821370,BV1qA411i7KE
93,【100部番剧混剪】此刻，让全世界都来感受ACG的魅力吧！,9.6万,2249,355707,11062819,BV1rz4y1X7LU
94,《我，机器鹿》,17.9万,5856,353008,471723540,BV18p4y1U7r8
95,于是石上优睁开了双眼,30.7万,475,349594,171583187,BV1GV411k7WM
96,“ᴰᵒ ʸᵒᵘ ᴸⁱᵏᵉ ᴿᵃⁱⁿ”  “ᴵ ᴾʳᵉᶠᵉʳ ʸᵒᵘ”,13.8万,517,349536,33471470,BV13E411L7Er
97,空 条 承 太 郎,12.6万,886,348509,493880468,BV1t5411W7RP
98,【AMV/舞曲】少女蜕变,9.9万,495,347036,20563366,BV1kv411B7jj
99,我连一秒都没有拥有过她，却感觉失去过她千万次。,17.5万,1572,345539,10773628,BV184411x7uq
100,这 都 是 什 么 祖 安 名 字！！,27.9万,807,345171,383242189,BV12a4y1e73b
