视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Dz4y1Q7Ct,街头社区Realstreets,1458,298273,360100,魔动闪霸《对手》（超清版）,1155,转载
BV1mk4y1z7WK,嘻笑堂,3844,251481,359943,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,626,转载
BV17i4y147NF,源星生态圈LTEcosphere,3467,223860,358911,'我  佛  了',1330,转载
BV1cz411v7VU,邓园长,15174,212782,354534,普通宅女和阳光宅女有什么区别？B站音乐区up教你夏天的正确打开方式（原唱：周杰伦）,851,原创
BV1vi4y1G7Vz,小陈L同学,2427,214541,352008,神仙Remix！Henry刘宪华一人一乐队《Dance Monkey》+《Attention》Loopstation！疯狂循环！,3674,转载
BV18J411i7A9,はち_hachi,2754,195372,348507,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,666,转载
BV1sV41167Xi,歼鸡队队长,1755,208960,344341,王嘉尔《100 Ways》搞笑版MV,1642,转载
BV16K411n79X,春卷饭harumakigohan,12161,71489,333538,若能化作彗星 (中文字幕) / 春卷饭 feat.初音未来,536,原创
BV1Hv411z73N,街头艺人小高,13543,199948,330415,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,297,原创
BV1fC4y1s7vv,12仔,7734,172425,327957,如果把【黑人抬棺】做成中国风音乐,1715,原创
BV1BK411n7Nf,三无Marblue,11599,119864,323507,【三无】RUMOR【ポリスピカデリー】,713,原创
BV1Fz411v7WS,BiBiPiano,10940,115103,302522,钢琴 Young and Beautiful 了不起的盖茨比 The Great Gatsby【4K】,505,原创
BV1ta4y1Y7f2,喜欢的一些走心的东西,87,317759,298645,央视伴舞把Gai整笑了……,452,转载
BV1gV41167HG,雨狸,8306,73464,297055,【洛天依原创】她失去的重要的东西【雨狸、依溪禾】【霾AXIS】【哥特金属】【PV付】,424,原创
BV1qV411k7Zc,rotbala,2363,96201,291558,【鏡音リン/中文字幕】爱情劣等生【かいりきベア】,572,转载
BV1hz4y1R7pz,野生小叔,6256,186583,288063,我直接在厕所唱LOSER！！！！！！,1130,原创
BV1JA411e7r1,火树银花的花大侠,7337,168051,278026,【周杰伦disco】-史上杰伦最强Rap串烧,538,原创
BV1Et411D7LU,音乐最TOP,1376,212412,276690,这是一首唯一在任何音乐软件都要收费的歌！,353,原创
BV1xV41167X5,奔跑怪物MusicGroup,1638,196835,273882,秦昊、王圣迪《白船》（网剧《隐秘的角落》片尾曲）,1601,原创
BV1gV411k7DK,二两两,1539,194250,271470,火箭少女解散居然出现神级现场，仿佛我是歌手舞台！全开麦实在太棒了,1111,转载
BV13a4y1e75v,小熊纯一郎,4502,169414,269085,【日语版】一剪梅！内味儿太重了！,622,原创
BV19T4y1J7Az,张彩霞老师,1110,167750,268806,【BLACKPINK】最新蚝油代言！《蚝油来袋/How you like that》韩语KTV版空耳教学中文音译字幕 粉墨回归主打MV,609,转载
BV18t411D7bT,急速炫火,1713,167455,268778,逮虾户 Deja vu ！中英双字幕MV,1266,转载
BV12C4y187BN,掌门太忙手游,6575,111678,268113,【掌门太忙】周深献唱主题曲《与卿》 | 此生不负，予你情深,2527,原创
BV1hf4y1y7vq,郑号锡dZHOU小慧,81,265970,267719,乘风破浪的姐姐王霏霏孟佳Miss A时期的经典舞台,928,转载
BV1CT4y177ok,yakisa彭雅琦,6929,188269,264520,再不打给我我就不打算追回你！哼！《大笨钟》cover.周杰伦,493,原创
BV1n54y1z7j8,O_WEN欧文,2867,240662,262618,再坚持一会 镜头就在前方,253,原创
BV1ok4y1r7Cq,王者荣耀,5179,141255,261453,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,7533,原创
BV15K4y1s7hu,Vinheteiro,2347,186592,261433,7首你曾听过而不知其名的梗曲,500,原创
BV1Kt411b7wi,RubyjaneJ,1011,169991,257797,婊气冲天 话题焦点Queen JENNIE绝美《SOLO》舞台1080p现场版＋多角度直拍 Gaon Chart颁奖礼,915,转载
BV1W5411W74K,萌Jo七,42,268400,252949,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,168,转载
BV1ct4y127iH,前尘牵丝忆梦还,2248,137162,252323,【MV】辉夜大小姐想让我告白第二季 OP 完整版 鈴木雅之 -『DADDY ! DADDY ! DO ! feat.鈴木愛理』,178,转载
BV1Xa4y1Y7uQ,JKAI杰凯,7130,146419,250411,【川普应援曲】曹操【预祝川建国同志连任】,614,原创
BV1wZ4y1p77q,小橘姆妈Joanna,448,160370,248853,【防弹少年团】【中字】IU版《春日》，还说自己特别喜欢这首,198,转载
BV1wi4y1x75B,念小酱candy,6994,90878,247684,炸裂戏腔/唢呐竟然被我干翻了《囍》初投稿【念小酱】,643,原创
BV1iK411n7ZQ,凡仔_IAA,5046,176354,247620,姐很酷炫，但你不配的YG风翻唱How You Like That,342,原创
BV1354y1z7h9,小缘,11057,98593,246844,【小缘翻唱】最后の私,757,原创
BV1mD4y1D7qz,井小一JING,5779,117510,245024,【原创动画MV】永远的十七岁 | 国风虚拟偶像,274,原创
BV1gK411L7Je,皮阿鸡Piag,2535,117067,240460,好听到头皮发麻！儿童震撼合唱《See You Again》,638,转载
BV1BC4y1874a,美波Minami资讯站,4255,70967,239313,美波「アメヲマツ、」MV【等雨】,287,转载
BV19E411E7N4,派森君,3080,110427,236905,23 年后重听伍佰，他一开口，就安慰了整个 90 后——伍佰现场超清合集（持续更新）,527,转载
BV1Hi4y1b7U2,進擊の真一君,113,236379,236485,90年代的日本 也太open了吧,110,原创
BV1ak4y1q7yu,沙拉酱merry,9215,137360,236025,建议改成《如果夏天的风吹过心墙》怎么这么丝滑？,470,原创
BV1ht4y127pc,郭正正_,8836,89550,232097,2019最火热单宇宙大串烧,111,原创
BV1F54y1X7mg,瘫君Tansy,4772,90640,230845,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,142,原创
BV1fZ4y1M7rA,陈以桐Jason,2834,191229,226277,【陈以桐】挑战韩语&女团舞 | BLACKPINK热曲 how you like that,335,原创
BV1XC4y1a7q7,最电台,683,192554,225435,明明是首泰语歌，却在中国这么火，霸占手机彩铃榜！,1123,原创
BV1tC4y187vH,Fay_Kpop,134,208185,224774,200630 JYP 新女团NiziU 出道先行迷你专辑 『Make you happy』恭喜,947,转载
BV1Ei4y1t7wf,zyl2012,2599,84324,224304,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,1410,转载
BV1rg4y1v7xR,多多poi丶,5229,106332,223128,【声优翻唱】派蒙の糖果旅行——《Sweets Parade》,263,原创
BV15V411k721,Music音乐世界,1249,150319,220876,这首毛主席时代的歌，现在没人再这样唱了！,446,转载
BV1Dp4y1U7uU,碰碰彭碰彭,3586,169030,220018,【南风知我意，吹梦到西洲】欧式建筑 与 古风音乐 在法国 浪漫相遇～,396,原创
