视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1N5411Y7gb,长得像美食博主的女人,5232,554197,779112,老干妈火腿炒面！真的比那些超多料的炒面好吃很多，搭配老干妈鸡腿,1266,原创
BV1yf4y1y7nY,我在旺角杀左人,7528,844821,777103,特朗普首次回应B站恶搞视频,2953,原创
BV18T4y177RM,华农兄弟,17996,1563762,774591,华农兄弟：听说兄弟在割蜂蜜，去帮一下忙，顺便搞点来尝一下,19461,原创
BV1gz4y1X7ug,人类早期驯服,8444,1087435,772995,人类早期驯服野生无人机的珍贵影像,2537,原创
BV1NC4y1h7BP,朱一旦的枯燥生活,10598,1937755,772439,【朱一旦】202 今天员工的全部消费，由我买单,2079,原创
BV1PZ4y1u7YE,大祥哥来了,15321,1492456,772339,试吃999元一桶的冰激凌，三种新奇吃法哪种最好吃？,18561,原创
BV1eT4y177iV,宝剑嫂,20220,1061277,761178,情 侣 旅 游 现 状,18341,原创
BV1DT4y1J7vA,徐大sao,16827,1596841,755923,串串配烧烤，大sao第一次尝试本地宵夜大排档，一个人的量真过瘾,8863,原创
BV1zK411n7GB,木农爷爷,28027,835345,750042,老木匠把10块钱的电风扇，做到1000块钱，这就是工匠精神,1756,原创
BV1jT4y177zf,翻拍小分队,36157,663957,749232,所有人期待的（杀破狼）巷战他来了！干！干！干！,1274,原创
BV1Ug4y1v7nN,fan人张,46198,689012,742609,禁食390天，感谢你们一路的支持，我结核终于治愈了,5909,原创
BV1gz4y1X7ii,知日酱,8587,1109303,738338,印度人“抵制中国”上推特热搜，结果被中国商人收割智商税  印度网友：禁止套娃！！,3516,原创
BV1fC4y1a7jW,潇宝大大片,2473,995089,737858,我一定要烧宁波大学,377,转载
BV19p4y1U76R,-LKs-,15547,795556,731445,现实中复刻大司马反物理学进球！难度有多高？,3430,原创
BV18K4y147i4,库玛i,12353,431148,714901,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,2930,原创
BV16K411n7UH,深海色带鱼,11822,793189,707683,“五秒就够了！”,5365,原创
BV12t4y197jn,小满家的晚饭,18504,615534,706958,手打20000下，一斤猪肉做成700张皮，肉包肉你吃过吗？,2101,原创
BV1ED4y1S7QS,皮蜀黍呀,29714,638791,704540,吸毒明星为什么不可以复出,2691,原创
BV1xa4y1Y7Qs,星晴dj,2189,789796,699160,"漂亮的皮囊千篇一律,有趣的灵魂万里挑一",257,转载
BV1xV41167wG,武汉汉咖,14467,577385,696904,有一种默契，叫做大家都是成年人~,1201,原创
BV1mg4y1v79T,一身傲娇如当年Fire,1837,714544,685683,这个狗子是个人吧，我竟然输给了一只狗子，它用想象力跟我拼。,969,转载
BV1XZ4y1M7kf,怦怦老师讲法语,1455,650964,684859,在法语里H基本是不发音的，那他们都是怎么笑的？他们知道中国有个城市叫呼和浩特吗？,1075,转载
BV1Cz411e7qD,流浪行者957,8118,946052,683114,下着大雨房车里吃火锅，暴风雨马上要来了，这下急坏了,2686,原创
BV1Y5411Y7rH,偏偏吃饱了,12778,754326,678573,我承认这个三不沾我有赌的成分,776,原创
BV1bV41167Sz,网络恶霸杨咻咻,1792,883953,676715,东北腔能毁了一切网络骚话,1418,原创
BV15K4y1s7dV,大肥喵在喵着你,2622,876577,676191,吹百家空调长大的猫。,883,原创
BV1mf4y117GN,长歌与小见见,11228,847333,675514,【主播真会玩女神篇】101： 淑怡眼球追踪自动瞄准，女流再战科二终克心魔,10460,原创
