视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1PC4y1p7wH,鬼会计,384,22893,35979,【川普】正道的光（建国的光）,154,原创
BV1Zp4y1U7er,SOL风洛尘,256,23621,35852,【全明星】B 站 至 宝 争 夺 战,52,原创
BV1rW411Y7cw,冰攻厂BeSo,325,24116,35700,【LexBurner】一口气全念对,51,原创
BV1Dg4y1q7yu,竹醉十六丶,372,25250,35646,【王者荣耀】诸神之战,92,原创
BV1z5411p78K,啊文JW,1221,14390,35369,【鬼畜电影】侏罗纪世界（完整版）,219,原创
BV1s4411i7L1,一只甜柠檬呀,153,26222,35254,油管上一个亿的特朗普的鬼畜，xswl。,209,转载
BV1mt4y197gZ,空旷的蓝田,771,22515,34795,【大司马】马 动 闪 霸,25,原创
BV1vv411B7Yp,夜雨星繁y,1150,19054,34441,【全明星】美人鱼,93,原创
BV19K411p7pZ,树深时见鹿dear,210,21194,33961,冒死从FBI偷出来的机密文件,64,原创
BV1H7411S7EJ,龙之王修罗,875,16116,33608,【卢本伟】something just like this,523,原创
BV1k7411j7PV,小锅er,337,23358,33301,【周淑怡rap】巴 黎 剩 母,48,原创
BV1f7411Z7vQ,风生君,846,17641,33054,【川普】青花瓷（高能泪目）,186,原创
BV1w7411v7xs,CSGO大茄子,446,21054,32318,【CSGO大茄子】白 给 话（中国话）,118,原创
BV1ii4y147LP,深度研究所,57,23855,30534,油管上超火的特朗普的鬼畜,157,转载
BV1nC4y1x7Je,秋名山上的小傻昔,341,22691,30456,【川普】卧底多年终究还是暴露了（高能泪目）,184,原创
BV1yA411b7vt,爱吃仙贝的小猪,569,16588,30332,【高燃泪目】没有人比我更懂无间,105,原创
BV1Wg4y1q7nE,善良的柚子,78,25842,29761,雷霆嘎巴(情人节限定),5,原创
BV1xx411c7mu,TSA,135,20518,29402,最终鬼畜蓝蓝路,101,转载
BV1Tf4y117iL,深海色带鱼,468,16141,29136,【张大仙Rap】全程核能！你能大声呼唤一声我八戒吗？？？,86,原创
BV1Az4y1X76Q,逆风矢,948,15858,28766,【丞相&司徒】素颜,69,原创
BV19t4y1X7jD,暂离二度,632,13499,28500,吉良吉影看上了藤原书记的手？——神奇联动系列,20,原创
BV1gk4y1r7sR,不愚人的愚人杰,365,18414,28319,【川普】曹操（高燃）,122,原创
BV1es411D7sW,Mr.Lemon,371,19236,28284,【循环向】跟着雷总摇起来！Are you OK！,35,转载
BV117411g7LB,刘泽秀V,601,15675,27947,赌 怪（完整版）,333,原创
BV1y7411t7Kt,枪弹轨迹,145,22117,27925,老公你快说句话呀,40,原创
BV1BA411i75N,qfegy,358,19105,27880,【杨超越】斗地主第一名,58,原创
BV1SQ4y1N7zr,昔日友人,293,19782,27841,ZBC大战奥利给之无情哈拉少,48,原创
BV1Vz4y197tD,calodie,269,17987,27788,希 望 海 鲜 没 事,22,原创
BV14E411378j,守护芙音,807,12755,27550,【全明星】Despacito,85,原创
BV15i4y1x7NS,超萌影酱,172,20838,27445,希望卢本伟没事🙏,35,原创
BV1Ca4y1t7mS,女孩为何穿短裙,396,18226,27240,张三罪大滔天 弄得百姓怨声载道,26,原创
BV12x411E7rM,画画峰,355,17106,26802,诸葛亮的红色蜀国,193,原创
BV1kJ41157LE,熊猫人Olig,140,17812,26776,八 勒 比 海 盗,173,原创
BV1Mt4y197N4,高三泡,453,14348,26196,【文艺复兴】Only My 梁逸峰,65,原创
BV1hz4y1X76r,清风最梦,100,22844,26165,【马化腾×马云】老 千 妈 ？,46,原创
BV1AK411W7Z5,JaLEn半仙,383,18526,26121,最 强 茄 海,9,原创
BV1q7411x7H6,无尽の零,752,13082,26021,我们，鬼畜区，向冠状病毒宣战！,96,原创
BV16K411p7z4,白熊ONEヽ,200,16758,24760,百 家 争 鸣,46,原创
BV1Mt4y197EA,墨雨清秋,797,12650,24396,【仝卓·高考】盗将行,41,原创
