视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV145411Y7Ed,叔贵,7147,31256,153797,一年多消耗21600大卡，甩掉5斤纯脂肪！全网独家的「姿态肌」你学不学,659,原创
BV1Yk4y1d7Wn,欧阳春晓Aurora,557,62406,146367,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,485,原创
BV1bA411i7To,dorothealll,373,121274,142664,关于我的24个问题 | 理想型？留学经历？爱用品分享！Q&A,375,原创
BV1j54y1z7ia,Stevenoo,515,119042,140121,【OO】普通缅甸人 VS 保守缅甸人,743,原创
BV1A54y1z7wi,付曦冉,3894,60564,135157,一百元轻松买到一套彩妆！便宜又好用！平价好物安利下集,3561,原创
BV1vv411B72b,皮卡小可爱,930,69742,120587,【JK+LO】又来了！3周目的卡点变身！超多裙子总有你爱的？内含JK、Lolita、地球人|皮卡小可爱,157,原创
BV1j54y1z7sC,海洋饼干Sophie,513,25555,120473,你们问我咋瘦的？促进腿部淋巴循环才能真正瘦腿！,102,原创
BV1wE411d777,FairyJJIA,808,43628,103966,【腐朽的资本主义气息】高级的颓废感！骨子里散发的媚魂,71,原创
BV1454y1z7x8,是我萧十七,782,77392,99487,【七哥吐槽系列】审美差异化!肌肉大的人 死的早？!健身UP主哭了,1091,原创
BV1yC4y187Pj,今天不想秃头啊,1651,55025,99064,可以无限重复使用的美甲甲片！款式有图就能做！华莎mv同款,155,原创
BV1wp4y1S7jw,小波健身,1538,22737,96443,每天坚持12分钟全身HIIT运动（疯狂燃脂，快速瘦身）,199,原创
BV1Pg4y1q7y7,Itsanika,189,38095,94241,（第十三周）比天鹅臂更狠的女人Pamela Reif四十五分钟周计划【13】,48,转载
BV18T4y1J7Kf,瘦子的救星经纬,274,31451,90520,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,61,原创
BV1ga4y1e7mY,胖梨本梨,78,17999,90005,自用 帕梅拉28分钟终极瘦腿(新手友好向),38,转载
BV12A411i7bK,仙丹杨,406,79509,87607,【美妆】美妆变性？吓哭了可别找妈妈哟～隐秘的角落秦昊张东升仿妆 想爬山的进 不爬山别进来,524,原创
BV1TC4y1h779,兔叭咯的星期五,541,45095,86596,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,70,原创
BV1U54y1B7ai,猫叔慢跑,791,22595,84618,20分钟消除脂肪胸跟练合集（含拉伸）。摆脱胸大、脂肪多、胸部“雌化”尴尬。不伤膝，在家就可以练起来。,24,原创
BV1da4y1Y7A4,名叫李了了,691,18198,84141,【拥有女团腿】减了10厘米！每天30分钟懒人瘦腿跟练！,138,原创
BV1aK411n7RS,一坨___,248,49138,79900,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,77,原创
BV1bT4y1G7Tv,闫帅奇,1412,11326,77462,【效果炸裂】全身减脂运动！练后24小时持续燃脂，极速瘦身瘦肚子必备。,33,原创
BV14p4y1U7Br,vamoko,1364,58088,77174,挑战全网最像陈芊芊仿妆！去拍骑马竟险被咬断手？？！武功尽失陈芊芊！赵露思仿妆,308,原创
BV1qC4y187BF,阿力酷Eric,278,71489,76329,烫完头发 回家就炸 Tony老师告诉你为什么,80,原创
BV1r5411p7GX,文不叮,513,21602,75338,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,23,原创
BV1jT4y177KN,吉良吉景彡,450,17259,72593,【Thenx】6分钟的6块腹肌训练,83,转载
BV1PD4y1S7hC,三打白骨婶,1013,31224,71726,【婶婶】男二系列变装合集来啦!！,223,原创
BV17C4y1a7rk,梨呢万物,164,43826,71207,有被嫩到！！我又想喝芝芝桃桃了！！干唇姐妹看过来！,54,原创
BV1AC4y1h7pG,雪梨大王吖,670,61823,71152,仿妆|桥本环奈还是佟湘玉？【辉夜大小姐想让我告白？/完结纪念】,326,原创
BV1CA411i7ay,摇摆的蚊子,518,20172,70117,内双拯救计划（中）|眼窝修容|眼影选择画法|眼睛深邃的秘诀,55,原创
BV1Ha4y147Sd,蓝蓝桉桉,45,28986,66989,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,111,转载
BV1sV411k7zn,大佬甜er,967,56021,66405,我的真爱=你的雷品？我推荐过的雷品TOP榜,1615,原创
BV1n54y1z7sY,宵夜大哥,509,23662,66199,「内双」保姆级新手眼线教程|大型干货活现场,129,原创
BV1AV41167HM,Comeon_Eileen,204,19113,66182,【艾琳】三十分钟全身有氧超燃脂HIIT | 全程站立无器械新手友好,37,原创
BV1p7411u7XB,我是上雅,329,13151,65455,每天5分钟【30天瘦手臂】一周见效get天鹅臂，带练+讲解帮你告别拜拜肉|消副乳|瘦胳膊|蝴蝶袖,43,原创
