视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1Ct4y197eT,神龙妹子团女团,102,11628,30481,【神龙妹子团】【蒲睿佳·小千】sweet devil❤性感在可爱面前还能一提吗？,11,原创
BV1xx411m7od,扑进你怀里丫,56,19932,29846,BLACKPINK  练习室舞蹈 合集 已更！,108,转载
BV1UK4y1C7jc,頎三73,1013,11654,29534,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,41,原创
BV1F54y1z7f3,SNH48官方账号,503,14852,28909,【SNH48 GROUP】炙热的我们-第6场《Never Surrender》舞台版,845,原创
BV16a4y1e7r8,机智的党妹,419,20814,27979,换了16套裙子为爱应援！Lo娘也有爱豆梦！,58,原创
BV1sJ411P7CF,-欣小萌-,219,21798,27709,【欣小萌】芒种，一想到你我就……,31,原创
BV1N5411Y7cE,李悦莎莎,348,17708,27462,2017 . 7 月的一个作品 。感觉和最近很火的 囍 有异曲同工之妙。只是故事线不一样.. 但是至今还是很喜欢这个作品的表达 ～,42,原创
BV12f4y117kF,楚鸢鸢吖,313,5488,27083,【楚鸢】AOA-怦然心动❤Heart Attrack 可以对我着迷嘛～biu～❤,32,原创
BV14z4y1d7n3,刘安猪_Andrew,447,18768,26742,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,106,原创
BV1rt4y197PW,中信银行信用卡客服,175,22027,26526,【中信银行信用卡中心】超还原书记舞，不看错亿！,40,原创
BV1NC4y1h7kK,柠檬味的三杞,94,9418,26371,一步一步走向你 ♥ Like a cat猫步轻俏【三杞】,6,原创
BV1x5411Y7tN,大熊猫训练营,244,23283,26074,乘风破浪的猛男 来一份《大碗宽面》,34,原创
BV1hk4y1q7Cg,-Kiki7,362,14609,25884,KIKI//翻跳 一口气跳完Blackpink心头爱副歌part,28,原创
BV1Lz4y1X7bS,十元酱少女,454,14427,25834,【十元酱】大制作！blackpink新曲how you like that超帅翻跳,24,原创
BV1ys411A7hm,裴裴bae,44,13431,25827,BLACKPINK 练习室合集（已更新）,30,转载
BV1PC4y1h7Ed,佳茗,157,7711,25328,【佳茗】【竖屏】打扰了，想离你更近一点,14,原创
BV1YT4y1J7tF,Yalisa梨鲨,668,16634,25294,舞蹈区接受挑战！辉夜大小姐之索兰节【Yalisa】,42,原创
BV1SK411n7bF,金碳是我的儿子呐,47,18541,25271,【车贤胜】宣美伴舞巧克力版菠萝冰棒紫光夜 巧克力视频随时更新中ing,50,转载
BV1gV41167zT,宅女狗橙X在线干物,116,18475,25148,【狗橙】真爱杀宝贝！！！沙雕宅女,38,原创
BV12t411x7gh,Mr-keeper,130,19123,25120,【极乐净土】元旦晚会上，别人家的超性感物理老师！【青岛实高】,173,转载
BV1GA411e7UM,D5安宁,247,7236,24693,【舞蹈教学】BlackPink粉墨How You Like That 小白适用超细镜面分解教程,47,原创
BV1tA411i7K5,月亮欧尼,89,6937,23585,【月亮欧尼】Sistar-i Swear~「竖屏」距离你0.01千米,2,原创
BV1zt4y197Aa,猫头ni教主,85,12165,22354,测试！测试！汪兔水！汪兔水佛！,11,原创
BV1q4411V7t8,航行笔记丨刘耀文,49,18629,22288,【刘耀文】校长都惊呆了！初一学弟现身巴蜀毕业晚会跳舞台风燃炸 尖叫声带动学生震撼家长 现场超嗨,81,转载
BV1af4y117Rj,果哝双子,86,18064,21176,精神小姐姐地铁站热舞,21,原创
BV185411Y7fp,承承承子2,18,18694,20783,蔡徐坤 情人 的不同跳法。YG vs BigHit 你喜欢哪一个？,12,转载
BV1ok4y1z7Mg,鳗鱼呼啦啦,60,8846,20457,青春有你2 婧妹们未播出舞蹈合集(持更中),242,转载
BV1fk4y1z7K9,猛男舞团IconX,348,14170,20197,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,27,原创
BV1rt4y197VR,薇言i,232,11399,20032,《清平乐 禁庭春昼》,20,原创
BV1Ga4y1e7ie,盗月社研究所,86,19077,19848,潜入b站总部 跳《无价之姐》，会被带走吗？,6,原创
BV11k4y1q7jY,呆毛魔王蔓蔓,75,6764,19544,【蔓蔓X茴茴】《short hair》短发-双人版双倍的快乐w,4,原创
BV1ri4y1G7JR,一只芸喵喵,161,3450,19110,【芸喵】4K超清More&More-TWICE兔瓦斯翻跳,43,原创
