视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1nV41167sq,薄海纸鱼yu,733,97093,124729,我变成了都市传说中的警笛头，让人类感受恐惧吧！警笛头模拟器 5种结局,891,原创
BV1bD4y1Q7LF,徐大虾咯,3112,80636,123414,老王有媳妇儿了！【德华的世界#6】,912,原创
BV19z411e78w,上单老祖,3389,69271,122800,提升基石符文理解 帮你选择对线策略战胜对手@上单老祖,483,原创
BV1at4y197VH,斗鱼BLUE,2545,96314,122545,教你如何把对面的野王玄策拐来！,6885,原创
BV1BA411i7iB,马克Sparrow,2466,88595,121815,这游戏目前任何人都不能通关，作者也无能为力！,720,原创
BV1PC4y1h7pV,英雄联盟,227,115383,121618,【选手靠谱时刻】369：这把要杀阿水十次,187,原创
BV19a4y1Y7ca,视角姬,1790,99658,121148,不要“走音”挑战！（美少女特供版）,807,原创
BV1Dg4y1v7ch,香菇滑鸡_,2327,101436,120267,真  ·  大  威  天  龙,558,原创
BV1Q54y1i7vz,天才小灰机a,2842,77085,115410,我的世界：开局只有一颗心，如何在孤岛生存下去,722,原创
BV1iv411B73j,电竞指南针,86,106107,112403,奇亚娜完美大招 封死对面走位,24,原创
BV1gV41167GN,无敌皮皮鸟,388,96922,111275,王者欢乐秀：你笑蒙恬充电宝，蒙恬笑你一枪倒！,227,原创
BV1Hf4y117KU,CapcomAsia,1142,91624,108103,【简中】《Monster Hunter World: Iceborne》开发者日记 Vol.6,2652,原创
BV1af4y117s2,老戴在此,1966,63994,104335,【爷青回】老戴《方舟 生存进化》萌新首次单人生存,1576,原创
BV1tg4y1v78T,楼上的老张,2596,62249,99529,能不能别追我了，我真的没有急支糖浆,1754,原创
BV1K5411Y7rQ,旭旭姥姥6868,249,91483,98136,宝哥增幅现场川剧变脸！宝哥：马哥我错了！我错哪儿了？？？,103,转载
BV1Jg4y1v7V1,电竞肝帝,2087,74407,97134,揭秘V5夏季赛强势的秘密 他们真有巅峰SKT的影子么？#胜负时刻·阿米洛#,276,原创
BV17g4y1v7CZ,希德尼娅的兔子,253,91951,96823,S20赛季抢先服8位英雄调整，西施不重做了,257,原创
BV1ei4y1G7kU,名堂蛋多,925,83084,96768,LOL手游骚套路：这就是中国功夫？,421,原创
BV1Vi4y1V73g,骚铭,463,75956,90035,当牛魔变成牛魔王，一斧头下去人就没了？,383,原创
BV1ka4y1h7b2,草莓味の喵喵酱,4583,59990,89962,假如只有一个方块......,538,原创
BV1TZ4y1p7By,国家建筑师Cthuwork,4071,38015,87593,【Minecraft】清明上河图幕后故事 [你猜我们怎么造的],543,原创
BV1Qf4y117Fh,老凡Fv,1567,54577,87501,【无敌边路】3vN边路克制关系 学三个英雄对抗路无敌！,561,转载
BV1vf4y117kX,太史令小黄鸡,4011,55871,87038,【电竞人物志】ming 凡是过往 皆为序章,316,原创
BV1Yg4y1v7Qk,夕寒君,89,82211,86631,周淑怡辅助阿水地狱难度开局！水子哥：滔博网线在哪给我拔了,255,转载
BV1sz4y1X79u,主播碉堡了,1246,77020,86581,主播碉堡了281：这Q准的就离谱 乌兹EZ秘术射击锁定完毕,252,原创
BV16T4y177Cd,贤良淑德列克星敦太太,164,75457,86341,用地雷当诱饵，射杀美国排雷工兵，中国玩家的阴险战术有多坏？,40,原创
BV11i4y1G7n5,Dm继续努力,205,70099,86239,如何不失礼貌的气死祖安玩家,141,原创
BV1GZ4y1p7AU,老狗差一步就起飞了,554,72666,85803,千万别再出错了！减速机制与装备被动效果详解，避免属性浪费，学会正确出装,818,原创
BV1YK4y147iE,小y王者解说,308,74072,84817,王者荣耀：“冰斧破军暴扣流”廉颇：2个技能就能让对手血条消失，太强啦,706,原创
BV13Z4y1p73d,绯绯Feifei,855,71917,83959,【绯绯的OW时间】高燃踩点连睡80把刀！安娜极度舒适系列01,201,原创
BV19K411p7Cm,跨越未来的声音,1453,59264,81231,Theshy 煮 酒 论 A D,73,原创
BV12i4y1G7Mh,逍遥散人,2461,49875,80173,【散人】超难度病毒入侵 i wanna坑爹加量加倍！！（下）,1120,原创
BV1hg4y1v7Au,Breaking丶Dawn,993,56953,80142,泉之精灵＆空之律者/刀妹  希儿/凯隐 演示视频,190,原创
BV11C4y1871q,大魔王夏天y,3365,40888,79854,新版虚无生存#8 我的世界里面的天堂？竟然是这样的,688,原创
BV1tV41167yJ,Evelinas,355,70011,78527,【桀哥多人图#668】马（法）里奥：艾露恩赐予我力量,536,转载
BV1ma4y1Y78h,决战平安京官方,159,72123,78402,彼岸花全新典藏皮肤「黄泉冥华」效果展示,172,原创
BV1ig4y1v7e6,AG超玩会王者荣耀梦泪,424,66395,78103,梦泪带你探索天美工作室，新版本三分之地精彩爆料抢先看！,372,原创
BV1ez411e7LG,叫我棉被,1815,42070,77604,【公主连结】yly伊莉亚详解：竞技场配队&会战介绍&星级建议&rank建议,470,原创
BV1Kf4y117TU,言二弎,20,76144,77503,【夏日泳装】照美冥技能爆料！泳装千代真来了！,32,原创
BV1Ma4y1e7Jo,辰健鸽,292,68686,76951,什  么！全  部  大  残,158,原创
BV1gz4y1X73p,衣柜里的是朋友,1500,48066,76202,星极的望远镜看到了什么奇怪的东西，远山是算命先生?干员梗及来源,123,原创
BV16K411n7ig,艺术家阿克曼,259,71499,75870,大司马失误后偷瞄的样子也太可爱了吧,2017,原创
BV1GV411672b,祖安抗压人,110,70646,75488,抗压吧水黑最全名单奉上，不是喜欢搞团建么？我阿水全都敢念！,70,原创
BV1XA411i7sS,温稚oO,25,74579,75203,满血一级被秒了 我人傻了呀！！！！！！,56,原创
