排名,标题,播放量,讨论数,得分
63,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,25.2万,2196,280212
64,《张含韵练习室直拍》真的好惊艳！我知道她颜正条顺唱歌甜，但是我真的不知道她跳舞竟然也这么好，,28.9万,65,277389
65,2020年6月20日 张雨绮：我就是不删视频！！张雨绮 首次正面回应 罗志祥 八爪鱼 事件 后半段张雨绮 霸气混剪,28.3万,823,275213
66,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,9.6万,5199,268979
67,【拜托了冰箱】香港人王嘉尔问为什么东北菜分量大 东北人黄景瑜的回答也太实在了,29.4万,18,267478
68,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,12.2万,267,266814
69,【BLACKPINK】新曲《How You Like That》油管reaction合集,22.2万,4255,264739
70,【麦长青】真当我“梁非凡”不上B站,21.7万,546,263775
71,【标音高】希林娜依·高——《Ice Queen》音域（全程高能）,21.6万,910,263318
72,长了一张SM的脸却去了YG？【韩网热议】这种爱豆的美貌简直是YG的门面啊！金智秀的五官怎么能如此漂亮！,20.0万,718,263260
73,【4K】老娘15岁出道的时候你还不知道在哪里！,14.9万,288,261452
74,【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,17.4万,2236,258633
75,【IU】美女那些令人心动的瞬间！！,20.0万,400,257967
76,【Heart Signal3】心脏信号3 高清中字合集(更至200624 E13中字）,24.2万,2.0万,257333
77,BLACKPINK HOUSE 团综 合集 (全12集) 中字,15.5万,5775,255124
78,【THE9】喻言发的一个视频解决了网上很多的质疑,22.4万,817,253478
79,改变桥本环奈命运的眼镜,25.4万,128,250815
80,“我就是长的有点凶，我真的挺好的”——JENNIE,15.4万,220,249843
81,这父子俩把红毯走出了傍晚饭后遛弯的感觉！,26.8万,24,249625
82,李紫婷凌晨发文求救后秒删，将缺席火箭少女101告别典礼,26.8万,69,247180
83,【沈梦辰】大家好，我是沈梦辰，希望得到大家的青睐！,23.6万,711,247121
84,第一期嘲笑长相太low了！对比RM，为何《奔跑吧》越做越无聊！【哇妹】,24.5万,2686,246680
85,【麻将馆中字】有点心机又如何 第一弹 2019.09.27 田中みな実 弘中綾香,10.3万,2476,245357
