排名,标题,播放量,讨论数,得分
70,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,11.6万,391,143466
71,【卿斗酱】竖屏❤️天道好轮回，净土饶过谁❤️极乐净土❤️文艺复兴,5.4万,98,141001
72,【阿羊】AOA-bing bing◈竖屏离你更近,3.5万,29,139630
73,【小肖子】一人成团翻跳BLACKPINK舞蹈合集,10.0万,147,139103
74,【王承渲】20181220 LATATA - (G)I-DLE  Dance Cover.,13.3万,200,136533
75,【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,11.6万,118,136086
76,【晓丹】炫彩翻跳-IZONE新曲幻想童话,5.1万,173,135712
77,EVERGLOW翻跳《Feel Special - Twice》,11.7万,454,135299
78,【富婆七奈】醒醒上课啦！你的老师～成人礼-Nine Muses,8.3万,87,134567
79,全b站最沙雕 爱 杀 宝 贝 真羞耻妈见打系列又疯了一个 超还原倒立踢腿(๑´∀`๑)人甜舞憨 硬核防止抑郁(´▽｀),10.0万,206,134406
80,完全疯了！超御姐【泡芙】,7.3万,35,130200
81,BLACKPINK新歌《How You Like That》副歌教学 镜面分解【Ellen和Brian教学】,4.7万,134,129935
82,【慕】Despacito,4.6万,154,128016
83,shake it❤️夏日肉抖抖【沛瑶】,5.1万,58,127115
84,"原创编舞舞蹈刘柏辛《manta》，超A女团""暴力""地板舞！",7.4万,43,126507
85,减肥也要听BTS！ 坚持每天15分钟BTS有氧减肥健身操 让你瘦成一道闪电(So What/Boy With Luv/Dionysus/DOPE),5.4万,87,125862
86,【高度还原】于是伊井野弥子跳起了书记舞丨今天不开门丨新人宅舞初投稿丨一米五小短腿丨Cosplay丨表情废丨石弥冲冲冲（小声）,8.5万,167,125478
87,【全盛舞蹈工作室】清凉来袭《烟雨行舟》唯美中国风编舞MV,6.3万,222,121695
88,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,5.2万,157,121123
89,CL唱的《不奉陪》demo很好听，所以编舞一支,7.1万,51,120129
90,创造营2020【敖心仪】more&more翻跳 twice新歌 ~,10.5万,170,117539
91,【跳跳舞蹈教学】青春有你2主题曲《YES！OK！》舞蹈教学，全网最快完整版教学【YES!OK! 一起绽放】,6.1万,118,115681
92,【王智  乘风破浪的姐姐】垫底？倒数第一？来看姐姐绝美主题曲直拍,10.1万,72,108911
93,[威神V/WayV]  威神V(WayV) 《超时空 回 (Turn Back Time)》Dance Practice,5.4万,946,108659
94,【小伊妍】夏日摇摆 Shake it！牛仔热裤抖抖抖起来～,3.8万,61,106226
95,awsl，超可爱毛妹书记舞,6.0万,45,105176
96,耗时8天爆肝制作，舞蹈特效，火箭少女101《皇后与梦想》留作解散的礼物,5.3万,457,104554
97,黑猫和白猫~总有一个你喜欢❤猫步轻俏 AOA 【生日作】【NeKo】6/23,3.2万,306,104376
98,全B站最奇怪的书记舞,7.9万,307,104371
99,草莓甜心学生【白金DISCO】芭比全糖啊！完整版萌到不行！,5.5万,79,102266
100,BLACKPINK新歌(How You Like That)欧尼练习室镜面慢速舞蹈教学,3.0万,12,101922
