排名,标题,播放量,讨论数,得分
73,【阿斗】竟然有4种结局！全面解析神作《蝴蝶效应》2位导演一生只拍过这一部电影，但足够了！,91.6万,7495,935385
74,【舒畅】老娘15岁就开始演96岁老太婆了/还有谁？,148.3万,1738,927490
75,最豪横的法海，一言不合就大威天龙,147.2万,2607,918356
76,没见过做宣传还带怼人的,61.7万,583,913764
77,柳如眉，云似发，鲛绡雾縠笼香雪。,77.1万,876,900999
78,【致敬轩龙鸽鸽】极度舒适的踩点和无缝衔接,41.5万,1470,893507
79,【1080p高清】传闻中的陈芊芊（品味爱情！）【0527糖点合集更至20集】,59.6万,7304,881274
80,妈妈我真的在看动画片啊,81.0万,2232,875149
81,看完后我的世界观又崩了,92.3万,1008,873227
82,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,76.2万,4200,870379
83,【现代版 武林外传】今日“血洗”同福客栈！,71.6万,1281,861860
84,这TM才叫经典！！,82.9万,5024,858533
85,每天一遍，防止早恋,105.5万,2687,856641
86,我的小主人死于大婚前夕，她只是睡了一觉，却再也没醒过来,48.1万,721,854177
87,再无美利坚】你是要当一辈子的懦夫还是英雄，哪怕只有几秒钟。,54.6万,814,853160
88,她们努力起来的样子，你根本想象不到,53.1万,4187,850453
89,日本讽刺短片《你的善良一文不值》,59.8万,3913,849765
90,我翻拍了《上海堡垒》，五毛钱特效能否挑战1.24亿票房？,84.9万,1384,845351
91,阿强的停车场保安之旅,144.2万,2058,843285
92,结局改写｜自始至终都是韩烁,33.5万,719,842444
93,野心大！讽刺偶像剧现状！《传闻中的陈芊芊》这部沙雕不简单,153.2万,9349,824913
94,史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,31.1万,4358,823654
95,DYSTOPIA_反乌托邦——2020毕业设计,28.6万,816,817174
96,黄胶鞋、七分裤、山羊胡子“刘海柱”精彩合集,73.6万,2945,813003
97,【张飞×林黛玉】“待我去屋后放一把火，看她起不起来！”,61.4万,3050,811801
98,疫情!那个红色帝国复活了！,100.9万,7259,809563
99,【白蛇：缘起】真人版 姑娘 你的珠钗掉了,52.6万,1677,807442
100,【传闻中陈芊芊】当我们全家人一起看传闻中的陈芊芊时会发生什么|沙雕向,63.1万,5916,805497
