排名,标题,播放量,讨论数,得分
73,【WNS中字】200627 BTS Love Yourself World Tour @ LONDON 伦敦场 全曲无剪辑完整版,8725,364,48369
74,【洛天依JPN】❤你和我的绝对恋爱规则❤【超可爱语调教】,1.1万,12,48097
75,【防弹少年团】【中字】IU版《春日》，还说自己特别喜欢这首,3.2万,40,47786
76,BLACKPINK《How You Like That》MV+舞台合集 (更新至200628～),3.8万,104,47320
77,90年代的日本 也太open了吧,4.4万,27,47195
78,乘风破浪的姐姐王霏霏孟佳Miss A时期的经典舞台,4.3万,111,47074
79,【人气歌谣】BLACKPINK - How You Like That 初舞台 直拍 200628,3.7万,259,47042
80,'我  佛  了',2.7万,152,46650
81,7首你曾听过而不知其名的梗曲,3.2万,62,46196
82,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,4.5万,25,45961
83,当年家喻户晓的经典老歌，首首有毒，满满都是回忆啊！,3.0万,1068,45316
84,16岁校草深情弹唱莫文蔚的《忽然之间》,1.7万,371,43868
85,【MV】辉夜大小姐想让我告白第二季 OP 完整版 鈴木雅之 -『DADDY ! DADDY ! DO ! feat.鈴木愛理』,2.3万,20,43683
86,【云横YHx西瓜JUN】《想自由》——————久违的合唱来辣,1.4万,267,42710
87,【原创动画MV】永远的十七岁 | 国风虚拟偶像,1.7万,32,42658
88,Eminem - Never Love Again 翻唱,2.8万,123,42537
89,将诗唱成歌！王源演绎《读山海经》惊艳全场,2.3万,2319,41836
90,我直接在厕所唱LOSER！！！！！！,2.7万,156,41388
91,Let it go 【九语男版】,2.2万,316,41141
92,V神Vicetone新歌《Animal》MV！这胖子看着怎么这么眼熟！？,3.6万,86,40196
93,【BLACKPINK】1080P新歌How You Like That 人气歌谣初打歌舞台+个人直拍合集（新歌舞台/直拍持更）(肥伦秀初舞台已更）,2.8万,207,39917
94,孟佳王霏霏合体跳《bad girl good girl》，爷青回,3.7万,41,39670
95,beginagain4 久违的年糕李遐怡《ROSE》的现场！,2.5万,123,39163
96,我的粉丝随便哼几句就是一首歌！,2.3万,139,39089
97,200627 防弹少年团LY演唱会伦敦场日本TBS电视台放送版WORLD TOUR 'LOVE YOURSELF' LONDON 全曲BTS特集,1.1万,86,37628
98,シャンパーニュ・デイ _ 星街すいせい(cover),9945,38,37559
99,穿成《How you like that》MV中那样要多少钱？,3.2万,56,37552
100,韩国说唱团体看《马思唯VS中文说唱》后惊讶的反应？！,3.4万,253,37495
