排名,标题,播放量,讨论数,得分
84,【煮鸡时刻 第二季】第52期 笨贼阿飞传授防盗教学 奇兵寅子上演人间大炮,29.6万,2523,315174
85,老木匠把10块钱的电风扇，做到1000块钱，这就是工匠精神,25.6万,628,313102
86,【湊あくあ】愛をこめて花束を【翻唱】,9.3万,1057,312362
87,妈妈问我为什么要跪着看手机！,13.9万,239,309101
88,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,24.1万,522,307925
89,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,16.6万,355,305516
90,一学就会！C4炸弹快乐阴人流！自爆卡车套路！轰炸机套路！,18.9万,1412,304517
91,我一定要烧宁波大学,27.5万,100,301956
92,【warma】怎么办！我现在好怕被2233娘封号,19.4万,783,300651
93,油管播放量破亿却惨被删除封号的特朗普恶搞视频,22.0万,460,297139
94,巨大反差！伊拉克孩童在水中嬉戏突遇空袭 笑声变尖叫惊慌躲避,31.0万,275,296382
95,有一种猖狂叫明天早上没课,21.3万,3261,295865
96,当你在召唤师峡谷中发明了扔标枪的坦克,24.1万,620,293816
97,体态纠正大师,22.0万,1232,292519
98,这位同学醒来后多尴尬啊！,32.2万,24,291861
99,沉迷“吸毒”的动物，千万不要吸毒,28.4万,639,287210
100,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,10.8万,625,286937
