排名,标题,播放量,讨论数,得分
87,老年卡卡西直播带货,30.5万,191,375759
88,2020年了，还有人记得童年那首动人歌曲《左手右手》吗,23.7万,4955,375315
89,这 都 是 什 么 祖 安 名 字！！,30.0万,831,370186
90,耗尽精力 六连达成！！这次一定，行！,13.4万,505,369289
91,考 试 前 一 晚,27.9万,1105,367165
92,【角色替换】如果白银的爸爸真的是DIO,22.7万,483,365679
93,“ᴰᵒ ʸᵒᵘ ᴸⁱᵏᵉ ᴿᵃⁱⁿ”  “ᴵ ᴾʳᵉᶠᵉʳ ʸᵒᵘ”,14.3万,542,365571
94,❤ 当 7 月 新 番 遇 上 蒸 汽 波 ❤,28.3万,303,362835
95,被遗失的一集：进击的派大星,24.9万,241,362687
96,穿上1比1钢铁侠MK7战甲是什么体验？-刘哥模玩,29.2万,3244,362052
97,当她裙里拔枪那一刻！！世界：我赌你的枪里没有子弹！,18.5万,570,361001
98,当我笑的那一刻，请自备纸巾！,20.3万,1813,352114
99,【迪奥把妹王】你是DIO，你能改邪归正吗,15.3万,2165,351890
100,秦先生和韦天本尊本色配音版【摸王TV】明日方舟篇05.5,22.7万,523,348686
