排名,标题,播放量,讨论数,得分
88,东北小伙怒怼地铁道德绑架大爷    警告：看完会引起极度舒适,174.2万,1565,1494264
89,【超燃励志】油管3000万播放——《没有借口》NO EXCUSES！每天一遍，防止颓废！,54.3万,1854,1493549
90,一个老鼠进去教室后，老鼠都快被吓死了,389.4万,2110,1488161
91,当你遭遇跟踪！快打开！,37.4万,1117,1487459
92,跳绳语音播报40分钟45秒跳绳15秒休息10分钟20分钟30分钟35分钟40分钟文字提示,29.7万,580,1486549
93,手机丢了第一件事绝不是报警,81.5万,788,1479868
94,吹气就能旋转的立体六芒星，好看的折纸减压小玩具,45.0万,1133,1473736
95,【花园粑粑】就是你们秀恩爱是吧！,87.2万,3.3万,1471012
96,好吃到舔盘的鸡蛋酱拌面！连吃3碗不过瘾.电饭锅蜜汁烧鸡,65.3万,989,1469114
97,【怪异君】与女仆争风吃醋，泡芙喵对怪异君大打出手！,119.4万,1.8万,1466578
98,如何拥有一个课室快乐机,103.0万,835,1458367
99,句句真理,177.0万,999,1455658
100,祖 安 益 智 玩 具,131.4万,3832,1427017
