排名,标题,播放量,讨论数,得分
75,三款免费加速器：真免费 拒绝套路邀请 拒绝网络掉线不稳定 爽快吃鸡,26.4万,488,923747
76,变态心理学 北京大学,21.5万,2739,921148
77,【医学博士】揭秘商家是如何骗你钱的？不喝奶茶就是戒糖，别天真了！,106.2万,5577,908811
78,日本网友评论，当中国人叫我们“小日本”时！反应亮了！评论笑死了！,209.7万,2.6万,904152
79,【2020法考】罗翔讲刑法（合集）已完结 共96讲 厚大法考,49.8万,1.5万,903225
80,PS2019从入门到精通（从安装到卸载）全套,34.6万,6103,898026
81,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,52.2万,7790,889376
82,【精听挑战】3个月内将听力提升n个level（合集）,26.8万,1144,884512
83,国内工资真相！来看看你的收入在哪层？,99.5万,1.5万,881314
84,你真的了解切格瓦拉吗？带你走进精神领袖伟大的一生,60.4万,7546,875906
85,微表情分析【特朗普】是否撒谎！！！（第四期）,89.3万,3447,859583
86,提高面试成功率的n个小技巧，内含简历教程和建议,25.1万,493,855804
87,6年前马航MH370究竟发生了什么，为何至今依然没有找到,80.0万,1.1万,844620
88,毕业迷茫？难找工作？10位UP主为你解答——《10位UP主的人生答辩》,98.5万,6120,842998
89,[Pr教程]0基础急速上手视频制作！UP主必备！,33.9万,2227,838531
90,【差评君】我在阿三哥的卸载中国app中，发现了印度版财富密码...,98.1万,4453,814911
91,【克苏鲁怪物图鉴 第一期】克苏鲁世界的至高主神——阿撒托斯,44.4万,4960,811197
92,多条军犬被蚊虫叮咬牺牲 ！每立方米蚊虫多达5000多只的边防连,115.4万,8728,808015
93,外国人听《一剪梅》 只有0次和无数次,193.8万,5529,803151
94,只有一句话的小说居然也很精彩｜一句话微型小说盘点,34.8万,2266,799076
95,认知层次是可以提升的吗？怎么做到思考有深度？,25.8万,4472,794858
96,【4K极清】GTA 6—风景线 | 2020全美暴动实况,59.9万,3059,789119
97,什么是特科抹人诅咒？美国历史上最“灵异事件”之一,56.6万,7200,787509
98,【4K】真·高维世界！教你升维思考！降维打击！寻找更高维度的世界！,33.4万,6625,786660
99,【建议收藏】卓越性能游戏模式让电脑直接进入战斗状态！ 丨 超实用的几个模式,20.1万,136,781791
100,对付强势霸道人的5个心理杀手锏 自我保护 心理学,28.0万,3549,777889
