排名,标题,播放量,讨论数,得分
85,哇喔~~国漫起来了！踩点踩到怀疑人生！,2388,13,4972
86,最强黑猫警长：我一眼就看出你不是人！大威天龙,3744,16,4877
87,【渣反】最新预告来咯！师徒齐上阵！还不赶紧锁死！,3611,14,4875
88,老天师的沙雕时刻,3450,7,4822
89,回顾2019你新娶的几位老婆,3465,14,4802
90,川 粤 火 线 ！,3252,5,4799
91,一人之下3巅峰打戏真人版 武当蒋师莫cos武当王也 燃爆动漫经典！,2602,4,4651
92,【4K】“开联十年” 一起见证《开心超人联盟》十年间的画风变化,3391,191,4594
93,【草原歌唱大赛】你(们)跑调的歌声深得我心(内含原声音频+creeper梗),2458,28,4586
94,羡慕这样的师徒恋，子阴鬼母与师尊！,3313,4,4557
95,【喜羊羊跨时空救兵】全程高虐！愿这瞬间永恒！你就是我最美的期待！当机械羊有了心，当灰太狼再次见到黑太狼，当慢羊羊遇到了花羊羊，当喜羊羊遇到了爸爸，当......,2237,19,4423
96,【凹凸世界】轮到嘉德罗斯来给你洗脑了,2053,2,4393
97,“我想了十天十夜也想不通”,3749,6,4298
98,这是一个未成年少女该有的战斗力吗？！,3838,0,4238
99,一人之下的封神之章 · 陈朵篇想表达的是什么？,2063,28,4217
100,仅次于老天师的战神，丁嶋安实力解析！（剧透）,3723,6,4160
