排名,标题,播放量,讨论数,得分
72,【亮剑】李云龙被策反到国军当少将，张大彪没拦住，赵刚知道后大发雷霆！没想到啊没想到，你赵政委这浓眉大眼的也叛变革命了,33.4万,422,355037
73,你们班男生自以为走路的样子vs实际上,32.3万,1410,353072
74,交梁2 老婆穿上蕾丝，逼老公交公粮，最后孩子救了老公一命,36.9万,324,347229
75,他们 死在了祖国胜利的前夜,14.7万,1951,343995
76,【夜店】杠精是这个世界上永远不会消失的职业,36.5万,627,342539
77,排名《隐秘的角落》中的10个最具电影感镜头「TOP 10」,20.6万,1184,338572
78,小性子又爱哭的林黛玉 凭什么是第一女主？林黛玉好在哪里？究竟如何死的？红楼梦的结局是什么样？,15.1万,2127,333861
79,香港女星——张敏，一位眼神都是戏的女人。爱他的笑容+全部,33.5万,207,333231
80,老头摸清死神弱点，连续反杀几十任死神，最后续命到300多岁,37.1万,129,332978
81,最豪横的法海，一言不合就大威天龙,29.6万,518,331772
82,【高欲/野蛮/吻戏/混剪】今晚做梦的素材我为你准备好了,18.1万,284,331563
83,用“今日说法”的方式打开《隐秘的角落》,24.5万,963,321880
84,【隐秘的角落】高清全剧情下7-12集，豆瓣9分，国剧之光,36.3万,190,318605
85,2020年傻白甜女主角 V S 十年前傻白甜女主角！,34.8万,4048,318567
86,2020最励志短片：绝对治好你的拖延症！,13.0万,433,313359
87,【拳头说书】解读高分悬疑剧《隐秘的角落》原著小说《坏小孩》,26.8万,602,302728
88,不占便宜，才是最大的便宜,33.3万,195,302632
89,“我叫苏落盏”,21.3万,535,300715
90,【鲁智深x林黛玉】为你倒拔垂杨柳,20.0万,1078,300498
91,13岁小孩竟是最终BOSS，《隐秘的角落》暗黑结局解析,33.1万,354,299692
92,毛主席第一次被外国工业所震撼，满脸愁绪，心急如焚！,26.2万,0,298534
93,【催泪/燃】满城尽白发，至死握唐刀——中国，一点也不能少！,17.3万,449,291829
94,部长:省委书记，我们是吃桶装泡面还是袋装泡面？,21.5万,191,285723
95,看完这个视频你会爱上数学的！！！,17.4万,693,284526
96,把这些都收入后宫，谁还上朝，混剪！！！,18.4万,473,280936
97,我和同一个男人，接了100次婚..,21.9万,455,279993
98,得  加  钱~~~,20.5万,175,276427
99,十年磨一剑！整个三国最励志的一段竟然是它？？？,25.4万,443,274944
100,美女上班急忙跑进电梯，老总提醒她没穿裙子，美女当场没脸见人了,29.2万,124,267293
